Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"General Services Administration","CBCA 3548","Board of Contract Appeals","","NONE PROVIDED","","201401293","012922014","01/28/2014","6300000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","6300000.00","Y",
"Indian Health Svc","3311(190-ISDA REM) THRU 3316(293-ISDA-REM)","Board of Contract Appeals","","NONE PROVIDED","","201401540","017632014","02/07/2014","1700000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","537878.22","41-USC-7101et seq        ","Contract Disputes Act","2237878.22","Y",
"Department of Navy","","Board of Contract Appeals","","N68711-99-D-2501","N68711-99-D-2501","201401732","015762014","02/05/2014","680000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","680000.00","Y",
"US Army Corps of Engineers","#58820 58821 58835","Board of Contract Appeals","","NONE PROVIDED","","201401990","019132014","02/12/2014","140000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","661.65","41-USC-7101et seq        ","Contract Disputes Act","140661.65","Y",
"US Army Corps of Engineers","","Board of Contract Appeals","","W912ER-08-C-0048","","201402281","021302014","02/13/2014","1500000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1500000.00","Y",
"Department of the Air Force","","Board of Contract Appeals","","NONE PROVIDED","","201402489","022882014","02/24/2014","1800000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1800000.00","Y",
"Indian Health Svc","3607","Board of Contract Appeals","","NONE PROVIDED","","201402519","024182014","02/27/2014","169087.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","4040.91","41-USC-7101et seq        ","Contract Disputes Act","173127.91","Y",
"Department of Veterans Affairs","cbca24142657","Board of Contract Appeals","","V101BC0192","","201402575","028402014","03/20/2014","650000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","650000.00","Y",
"Indian Health Svc","3006","Board of Contract Appeals","","NONE PROVIDED","","201402711","027922014","03/20/2014","39000000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","1765017.84","41-USC-7101et seq        ","Contract Disputes Act","40765017.84","Y",
"Department of Navy","58308","Board of Contract Appeals","","12780","","201402820","031182014","04/02/2014","725000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","3925.43","41-USC-7101et seq        ","Contract Disputes Act","728925.43","Y",
"General Services Administration","CBCA2580","Board of Contract Appeals","","INTENTIONALLY BLANK","INTENTIONALLY BLANK","201402826","036232014","04/24/2014","4500000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","4500000.00","Y",
"General Services Administration","CBCA2580","Board of Contract Appeals","","INTENTIONALLY BLANK","INTENTIONALLY BLANK","201402826","036242014","04/24/2014","6000000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","6000000.00","Y",
"US Army Corps of Engineers","58295 58296 58297 58298 58299 58387 58388 58389 58","Board of Contract Appeals","","W9126G-09-C-0025","W9126G-09-C-0025","201403372","034652014","04/23/2014","56794.96","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","191.78","41-USC-7101et seq        ","Contract Disputes Act","56986.74","Y",
"Indian Health Svc","CBCA NO 2975-ISDA","Board of Contract Appeals","","NONE PROVIDED","","201403432","041192014","05/21/2014","3600000.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","176967.19","41-USC-7101et seq        ","Contract Disputes Act","3776967.19","Y",
"Department of the Air Force","57409","Board of Contract Appeals","","NONE PROVIDED","","201403525","041732014","06/09/2014","7450141.53","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","1050852.81","41-USC-7101et seq        ","Contract Disputes Act","8500994.34","Y",
"Department of the Air Force","58278","Board of Contract Appeals","","58278","","201404139","041872014","05/23/2014","1100000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1100000.00","Y",
"Indian Health Svc","2005 198-ISDA 329 ISDA THRU 336 ISDA","Board of Contract Appeals","","NONE PROVIDED","","201404238","061892014","07/11/2014","40100000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","13330297.06","41-USC-7101et seq        ","Contract Disputes Act","53430297.06","Y",
"Indian Health Svc","CBCA NOS. 593-ISDA, 594-ISDA, 595-ISDA, 596-ISDA,","Board of Contract Appeals","","NONE PROVIDED","","201404287","070512014","08/06/2014","48250000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","15768578.76","41-USC-7101et seq        ","Contract Disputes Act","64018578.76","Y",
"Indian Health Svc","CBCA NOS. 593-ISDA, 594-ISDA, 595-ISDA, 596-ISDA,","Board of Contract Appeals","","NONE PROVIDED","","201404287","070522014","08/06/2014","48250000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","15768578.76","41-USC-7101et seq        ","Contract Disputes Act","64018578.76","Y",
"General Services Administration","1849, 2386","Board of Contract Appeals","","NONE PROVIDED","","201404332","063142014","07/15/2014","1721488.66","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","207132.85","41-USC-7101et seq        ","Contract Disputes Act","1928621.51","Y",
"Indian Health Svc","311-320, 3017, 3134-3140","Board of Contract Appeals","","NONE PROVIDED","","201404508","046222014","06/16/2014","36000000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","11827540.76","41-USC-7101et seq        ","Contract Disputes Act","47827540.76","Y",
"US Army Corps of Engineers","13-1443","Board of Contract Appeals","","154-F13-210","","201404603","069682014","08/01/2014","90000000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","472500.00","41-USC-7101et seq        ","Contract Disputes Act","90472500.00","Y",
"US Army Corps of Engineers","13-1443","Board of Contract Appeals","","154-F13-210","","201404603","069692014","08/01/2014","90000000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","472500.00","41-USC-7101et seq        ","Contract Disputes Act","90472500.00","Y",
"US Army Corps of Engineers","13-1443","Board of Contract Appeals","","154-F13-210","","201404603","069702014","08/01/2014","77113405.29","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","404845.37","41-USC-7101et seq        ","Contract Disputes Act","77518250.66","Y",
"Indian Health Svc","1053, 1054, 1055","Board of Contract Appeals","","NONE PROVIDED","","201404695","052362014","06/25/2014","364989.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","117742.07","41-USC-7101et seq        ","Contract Disputes Act","482731.07","Y",
"Indian Health Svc","3806","Board of Contract Appeals","","NONE PROVIDED","","201404930","066152014","07/17/2014","400756.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","10935.38","41-USC-7101et seq        ","Contract Disputes Act","411691.38","Y",
"Indian Health Svc","","Board of Contract Appeals","","67G090096","","201405203","064212014","07/15/2014","950000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","30069.34","41-USC-7101et seq        ","Contract Disputes Act","980069.34","Y",
"Indian Health Svc","","Board of Contract Appeals","","58G990058","","201405232","069352014","07/29/2014","57750000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","18883557.24","41-USC-7101et seq        ","Contract Disputes Act","76633557.24","Y",
"Indian Health Svc","","Board of Contract Appeals","","58G990058","","201405232","069362014","07/29/2014","57750000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","18883557.24","41-USC-7101et seq        ","Contract Disputes Act","76633557.24","Y",
"Indian Health Svc","","Board of Contract Appeals","","67G950035","","201405260","070472014","08/06/2014","1337069.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","43528.98","41-USC-7101et seq        ","Contract Disputes Act","1380597.98","Y",
"Department of Veterans Affairs","2798","Board of Contract Appeals","","2798","2798","201405307","074062014","08/26/2014","3400000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","3400000.00","Y",
"Department of the Army","ASBCA  58177","Board of Contract Appeals","","ASBCA 58177","","201405568","071852014","08/12/2014","245000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","245000.00","Y",
"Department of Navy","58907","Board of Contract Appeals","","NONE PROVIDED","","201405641","077452014","09/10/2014","3815746.82","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","814707.64","41-USC-7101et seq        ","Contract Disputes Act","4630454.46","Y",
"Department of Navy","57547","Board of Contract Appeals","","NONE PROVIDED","","201405648","073922014","09/22/2014","810618.79","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","63372.63","41-USC-7101et seq        ","Contract Disputes Act","873991.42","Y",
"Indian Health Svc","3947, 3948, 3949, 3950, 3951","Board of Contract Appeals","","NONE PROVIDED","","201405786","073372014","08/21/2014","193792.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","3624.32","41-USC-7101et seq        ","Contract Disputes Act","197416.32","Y",
"Indian Health Svc","","Board of Contract Appeals","","67G040084","","201405808","073972014","08/26/2014","296154.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","9964.24","41-USC-7101et seq        ","Contract Disputes Act","306118.24","Y",
"Indian Health Svc","","Board of Contract Appeals","","60G950020","","201405855","072852014","08/18/2014","29500.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","1622.21","41-USC-7101et seq        ","Contract Disputes Act","31122.21","Y",
"Indian Health Svc","","Board of Contract Appeals","","PM 12-2956","","201405960","075462014","08/28/2014","1670000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","57340.81","41-USC-7101et seq        ","Contract Disputes Act","1727340.81","Y",
"Indian Health Svc","","Board of Contract Appeals","","NONE PROVIDED","","201405966","075652014","09/04/2014","39500000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","12979875.47","41-USC-7101et seq        ","Contract Disputes Act","52479875.47","Y",
"Indian Health Svc","3924-ISDA","Board of Contract Appeals","","NOT PROVIDED","","201406045","074482014","08/27/2014","33060.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","1117.76","41-USC-7101et seq        ","Contract Disputes Act","34177.76","Y",
"Department of the Army","59253","Board of Contract Appeals","","NONE PROVIDED","","201406148","078682014","09/18/2014","71071.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","120.72","41-USC-7101et seq        ","Contract Disputes Act","71191.72","Y",
"Indian Health Svc","3007","Board of Contract Appeals","","NONE PROVIDED","","201406186","078402014","09/15/2014","5300000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","294930.57","41-USC-7101et seq        ","Contract Disputes Act","5594930.57","Y",
"Department of the Air Force","","Board of Contract Appeals","","NONE PROVIDE","","201406209","077222014","09/09/2014","22000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","22000.00","Y",
"Indian Health Svc","3008-ISDA - 3013-ISDA","Board of Contract Appeals","","NONE PROVIDED","","201406240","077462014","09/10/2014","29470500.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","1657759.12","41-USC-7101et seq        ","Contract Disputes Act","31128259.12","Y",
"Indian Health Svc","","Board of Contract Appeals","","NONE PROVIDED","","201406265","077092014","09/09/2014","0.00","","","0.00","","","0.00","","","24169.86","41-USC-7101et seq        ","Contract Disputes Act","24169.86","Y",
"Department of the Air Force","","Board of Contract Appeals","","58586","","201406282","080622014","09/25/2014","701015.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","701015.00","Y",
"Indian Health Svc","","Board of Contract Appeals","","65G950036","","201406499","080802014","09/29/2014","107500.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","3843.62","41-USC-7101et seq        ","Contract Disputes Act","111343.62","Y",
"Indian Health Svc","","Board of Contract Appeals","","65G950036","","201406499","080812014","09/29/2014","107500.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","2148.16","41-USC-7101et seq        ","Contract Disputes Act","109648.16","Y",
"Department of the Army","","Contract Disputes","","58118","","201400122","000052014","10/30/2013","1750000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1750000.00","Y",
"Department of the Army","","Contract Disputes","","58118","","201400122","000062014","10/30/2013","1525000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1525000.00","Y",
"Forest Service","","Contract Disputes","","ASBCA 57866","","201402983","034672014","04/23/2014","500000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","500000.00","Y",
"Indian Health Svc","3776-ISDA","Contract Disputes","","64G020072","","201404301","043072014","05/23/2014","650634.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","18634.90","41-USC-7101et seq        ","Contract Disputes Act","669268.90","Y",
"Indian Health Svc","","Contract Disputes","","67G050088","","201404759","054692014","06/27/2014","1329215.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","40046.37","41-USC-7101et seq        ","Contract Disputes Act","1369261.37","Y",
"Indian Health Svc","2:13-CV-00568","Contract Disputes","","2013V00249","","201405252","071162014","08/07/2014","1000000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1000000.00","Y",
"Department of the Army","","Contract Disputes","","DAKF10-01-D-0015","DAKF10-01-D-0015","201405401","071062014","08/07/2014","15770.84","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","15770.84","Y",
"General Services Administration","","Contract Disputes","","CBCA NO. 3730","","201405621","073962014","08/26/2014","371985.35","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","9814.29","41-USC-7101et seq        ","Contract Disputes Act","381799.64","Y",
"Department of the Air Force","12-572","Court Of Federal Claims","","154-12-572","","201304139","051082013","01/15/2014","77186.29","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","77186.29","N",
"DHS - Immigration  & Customs Enforcement (ICE)","11-566","Court Of Federal Claims","","154-11-566","","201304305","051022013","11/04/2013","500000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","500000.00","Y",
"Department of the Interior","11-426","Court Of Federal Claims","","154-11-426","","201304922","052382013","08/12/2014","62371.35","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","62371.35","N",
"Department of the Interior","11-426","Court Of Federal Claims","","154-11-426","","201304922","052392013","08/12/2014","14613.81","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","14613.81","N",
"US Army Corps of Engineers","11-499","Court Of Federal Claims","","154-11-499","","201304999","059112013","01/31/2014","400000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","400000.00","Y",
"Department of Navy","06-827","Court Of Federal Claims","","154-06-827","","201305006","059142013","03/06/2014","304453.27","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","304453.27","N",
"Department of Navy","06-827","Court Of Federal Claims","","154-06-827","","201305006","059152013","03/13/2014","109487.27","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","109487.27","N",
"Department of Navy","06-827","Court Of Federal Claims","","154-06-827","","201305006","059162013","03/13/2014","6002.14","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","6002.14","N",
"Department of Navy","13-207","Court Of Federal Claims","","154-13-207","","201305032","058532013","12/17/2013","36638.58","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","36638.58","Y",
"Department of Energy","12-401","Court Of Federal Claims","","154-12-401","","201305071","058042013","11/14/2013","4726447.15","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","4726447.15","N",
"Department of Justice","12-109","Court Of Federal Claims","","154-12-109","","201305403","057932013","11/14/2013","450000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","450000.00","N",
"Department of Navy","10-820","Court Of Federal Claims","","154-10-820","","201305416","058862013","01/15/2014","229743.78","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","229743.78","Y",
"Department of the Air Force","98-943","Court Of Federal Claims","","154-98-943","","201305450","059002013","01/28/2014","17454.56","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","17454.56","N",
"Homeland Security","07-165","Court Of Federal Claims","","154-07-165","","201305484","056162013","11/01/2013","9366.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","2650.59","41-USC-7101et seq        ","Contract Disputes Act","12016.59","Y",
"Homeland Security","07-165","Court Of Federal Claims","","154-07-165","","201305484","056172013","11/01/2013","1555.20","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","468.47","41-USC-7101et seq        ","Contract Disputes Act","2023.67","Y",
"Department of Energy","04-0097","Court Of Federal Claims","","154-04-0097","","201305485","058052013","11/14/2013","6227978.27","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","6227978.27","N",
"Department of Energy","98-483","Court Of Federal Claims","","154-98-483","","201305486","058942013","01/17/2014","36794168.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","36794168.00","N",
"Surface Transportation Board","10-594","Court Of Federal Claims","","NONE PROVIDED","","201305603","058352013","11/25/2013","1857232.00","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","1857232.00","N",
"Department of Energy","04-71","Court Of Federal Claims","","154-04-71","","201305695","059252013","02/04/2014","2386168.22","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","2386168.22","N",
"Department of Energy","04-69","Court Of Federal Claims","","154-04-69","","201400051","000252014","11/05/2013","32635305.47","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","32635305.47","N",
"Department of Energy","98-485","Court Of Federal Claims","","154-98-485","","201400053","007892014","01/14/2014","29933891.70","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","29933891.70","N",
"Department of Agriculture","11-03","Court Of Federal Claims","","154-11-03","","201400118","005592014","12/24/2013","31981980.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","31981980.00","N",
"Department of the Army","12-80","Court Of Federal Claims","","154-12-80","","201400162","001622014","11/14/2013","50000000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","50000000.00","N",
"Department of Energy","04-102; -103; -104","Court Of Federal Claims","","154-04-102; -103; -104","","201400163","002252014","11/21/2013","72491104.51","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","72491104.51","N",
"Drug Enforcement Adm","98-554","Court Of Federal Claims","","154-98-554","","201400164","021812014","02/19/2014","6200.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","6200.00","N",
"Department of Energy","98-484","Court Of Federal Claims","","154-98-484","","201400165","000912014","11/07/2013","42628118.94","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","42628118.94","N",
"Forest Service","12-30","Court Of Federal Claims","","154-12-30","","201400184","001302014","11/14/2013","310000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","310000.00","N",
"Department of Energy","04-37","Court Of Federal Claims","","154-04-37","","201400197","023332014","02/26/2014","0.00","","","0.00","","","36797.13","28-USC-2412(a)           ","Costs Per 28 USC 1920","0.00","","","36797.13","N",
"US Army Corps of Engineers","11-499","Court Of Federal Claims","","154-11-499","","201400216","001102014","11/14/2013","400000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","400000.00","N",
"Surface Transportation Board","09-186","Court Of Federal Claims","","90-1-23-12791","","201400256","003482014","11/27/2013","2475013.22","42-USC-4654              ","Litigation Expenses In Inverse Condemnation Cases","0.00","","","0.00","","","0.00","","","2475013.22","N",
"Surface Transportation Board","09-114L","Court Of Federal Claims","","90-1-23-12758","","201400546","002612014","11/25/2013","99871.37","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","299202.75","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","39648.73","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","438722.85","N",
"Surface Transportation Board","08-431L","Court Of Federal Claims","","90-1-23-12547","","201400580","005602014","12/24/2013","214439.00","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","1321000.00","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","1535439.00","N",
"Department of Justice","N/A","Court Of Federal Claims","","77-16-2038","","201400588","004612014","12/12/2013","1128082.19","28-USC-2513              ","Unjust Conviction & Imprisonment","0.00","","","0.00","","","0.00","","","1128082.19","N",
"Surface Transportation Board","10-463-L","Court Of Federal Claims","","90-1-23-13192","","201400617","005672014","12/27/2013","11488371.51","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","11488371.51","N",
"Department of Energy","01-551","Court Of Federal Claims","","154-01-551","","201400622","007902014","01/14/2014","13830211.02","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","13830211.02","N",
"Department of Energy","04-68","Court Of Federal Claims","","154-04-68","","201400624","004662014","12/12/2013","14085633.25","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","14085633.25","N",
"General Services Administration","13-221","Court Of Federal Claims","","154-13-221","","201400625","017032014","02/04/2014","183525.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","183525.00","N",
"Department of the Interior; Department of the Treasury","02-024","Court Of Federal Claims","","NONE PROVIDED; NONE PROVIDED","","201400635","003752014","12/06/2013","59000000.00","28-USC-1505 Other        ","Indian Tribe Other-cite basis for money award in comments","0.00","","","0.00","","","0.00","","","59000000.00","N",
"Department of State","12-455","Court Of Federal Claims","","154-12-455","","201400673","005622014","12/27/2013","1247575.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1247575.00","Y",
"Bureau of the Census","12-169","Court Of Federal Claims","","154-12-169","","201400826","025112014","03/06/2014","78058.13","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","78058.13","N",
"Bur of Reclamation","07-730","Court Of Federal Claims","","154-07-730","","201400839","006302014","01/08/2014","600000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","600000.00","N",
"Adm Ofc of US Courts","11-464","Court Of Federal Claims","","154-11-464","","201400865","013982014","01/30/2014","119001.93","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","119001.93","N",
"Adm Ofc of US Courts","11-464","Court Of Federal Claims","","154-11-464","","201400865","013992014","09/25/2014","45626.33","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","45626.33","N",
"Adm Ofc of US Courts","11-464","Court Of Federal Claims","","154-11-464","","201400865","014002014","09/25/2014","1003.94","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","1003.94","N",
