Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"Department of Navy","","Board of Contract Appeals","","","","200705537","03270771 ","07/25/2007","14239.16","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","42.62","41-USC-601et seq         ","Contract Disputes Act","14281.78","Y",
"Department of Navy","","Board of Contract Appeals","","55268","55268","200706886","03305861 ","09/19/2007","68000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","8956.68","41-USC-601et seq         ","Contract Disputes Act","76956.68","Y",
"Department of Navy","96222C","Contract Disputes","","15496222","","200502009","02840731 ","05/11/2007","4200.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","4200.00","Y",
"US Army Corps of Engineers","99982c","Contract Disputes","","15499982","","200601304","03133451 ","10/06/2006","35000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","","N",
"US Army Corps of Engineers","03 2274c","Contract Disputes","","154032274","","200608133","03130181 ","10/27/2006","112206.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","112206.00","Y",
"Bur of Indian Affair","05978c","Contract Disputes","","15405978","","200700076","03135511 ","10/13/2006","390000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","390000.00","Y",
"General Services Administration","05580","Contract Disputes","","","","200700291","03140422 ","11/16/2006","494390.68","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","18721.22","41-USC-601et seq         ","Contract Disputes Act","","Y",
"Natl Guard Bureau","05 586 c","Contract Disputes","","DJ 154 05 586","","200700588","03147341 ","12/08/2006","140652.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","3883.35","41-USC-601et seq         ","Contract Disputes Act","144535.35","Y",
"Department of the Interior","","Contract Disputes","","","","200700743","03150231 ","11/17/2006","4231391.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","607581.24","41-USC-601et seq         ","Contract Disputes Act","4838972.24","Y",
"Office of the Secretary of Defense - Agencies","061080","Contract Disputes","","154F0698","","200701011","03156882 ","04/13/2007","0.00","","","0.00","","","1053.10","41-USC-601et seq         ","Contract Disputes Act","0.00","","","1053.10","Y",
"Department of the Air Force","55069","Contract Disputes","","","","200701021","03157151 ","12/08/2006","635920.53","41-USC-601et seq         ","Contract Disputes Act","106313.13","41-USC-601et seq         ","Contract Disputes Act","0.00","","","54853.00","41-USC-601et seq         ","Contract Disputes Act","787086.66","Y",
"Department of Navy","","Contract Disputes","","ASBCA NUMBER 54922","","200701062","03158171 ","12/05/2006","65000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","65000.00","Y",
"Department of the Army","6:04-CV-00164-WMS","Contract Disputes","","DJ6175363","","200701080","03158501 ","12/15/2006","15000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","15000.00","Y",
"Department of State","gsbca16758st","Contract Disputes","","","","200701098","03162531 ","12/08/2006","2161311.24","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","2161311.24","Y",
"Department of the Army","","Contract Disputes","","DAAK4078C0109","","200701189","03164561 ","12/12/2006","6600000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","2866478.84","41-USC-601et seq         ","Contract Disputes Act","9466478.84","Y",
"General Services Administration","16855-56","Contract Disputes","","16855-56","","200701314","03167892 ","12/27/2006","18711000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","","Y",
"General Services Administration","16853","Contract Disputes","","16853","","200701316","03167912 ","12/27/2006","8289000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","","Y",
"Department of Navy","54052 54511","Contract Disputes","","ASBCA 54052 54511","","200701435","03170241 ","12/28/2006","406382.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","406382.00","Y",
"Department of Navy","55630","Contract Disputes","","","","200701548","03172291 ","01/02/2007","1355337.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","392421.04","41-USC-601et seq         ","Contract Disputes Act","1747758.04","Y",
"Department of Veterans Affairs","041155c","Contract Disputes","","154041155","","200701729","03176051 ","01/17/2007","68161.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","68161.00","Y",
"Department of Agriculture","04471C","Contract Disputes","","15404471","","200701752","03176531 ","01/18/2007","15000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","15000.00","Y",
"Natl Inst of Health","","Contract Disputes","","","","200701926","03180291 ","01/29/2007","370000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","370000.00","Y",
"Def Intelligence Agy; Department of Navy","","Contract Disputes","","5500655202; 5500655202","5500655202","200701958","03181021 ","01/29/2007","1325000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1325000.00","Y",
"US Army Corps of Engineers","","Contract Disputes","","DACA2700C0081","","200702090","03185951 ","02/13/2007","149131.75","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","19923.30","41-USC-601et seq         ","Contract Disputes Act","169055.05","Y",
"Indian Health Svc","cv96459si","Contract Disputes","","145163850","","200702231","03190611 ","02/21/2007","1200000.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","0.00","","","1200000.00","Y",
"Department of the Air Force","55100","Contract Disputes","","55100","","200702366","03193221 ","02/26/2007","2550000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","253698.83","41-USC-601et seq         ","Contract Disputes Act","2803698.83","Y",
"General Services Administration","cbca 482","Contract Disputes","","GSBCA NO CBCA 582","","200702373","03193421 ","02/21/2007","19086.86","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","19086.86","Y",
"Department of Navy","","Contract Disputes","","","","200702405","03194151 ","02/22/2007","125000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","125000.00","Y",
"Department of the Air Force","041489C","Contract Disputes","","154041489","","200702487","03196181 ","03/28/2007","174882.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","23935.05","41-USC-601et seq         ","Contract Disputes Act","198817.05","N",
"Bur of Indian Affair","","Contract Disputes","","","","200702628","03199391 ","03/01/2007","3372148.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","224536.55","41-USC-601et seq         ","Contract Disputes Act","3596684.55","Y",
"Department of Navy","","Contract Disputes","","","","200702912","03205831 ","03/13/2007","21700000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","8037454.79","41-USC-601et seq         ","Contract Disputes Act","29737454.79","Y",
"Natl Park Service","","Contract Disputes","","C172001901A IBCA 434","","200702922","03206091 ","03/09/2007","55000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","55000.00","Y",
"Department of the Air Force","","Contract Disputes","","","","200703057","03208941 ","03/13/2007","320000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","320000.00","Y",
"Department of Veterans Affairs","","Contract Disputes","","CBCA 4 346 350 585","CBCA 4 346 350 585","200703058","03208951 ","03/13/2007","290100.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","68552.00","41-USC-601et seq         ","Contract Disputes Act","358652.00","Y",
"Department of Veterans Affairs","","Contract Disputes","","VABCA 7569","","200703059","03208961 ","03/13/2007","115000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","1349.28","41-USC-601et seq         ","Contract Disputes Act","116349.28","Y",
"US Army Corps of Engineers","032771c","Contract Disputes","","154032771","","200703096","03209641 ","03/16/2007","1050000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050000.00","Y",
"General Services Administration","cbca 663","Contract Disputes","","CBCA 663","","200703285","03214291 ","03/21/2007","750000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","750000.00","Y",
"US Army Corps of Engineers","","Contract Disputes","","55569","55569","200703369","03216361 ","03/27/2007","917000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","917000.00","Y",
"Department of Veterans Affairs","","Contract Disputes","","CBCA580","","200703607","03222231 ","04/05/2007","2325000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","2325000.00","Y",
"FEMA","","Contract Disputes","","DACW99M01580159","","200703695","03224391 ","05/01/2007","121543.52","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","121543.52","Y",
"Forest Service","","Contract Disputes","","CBCA NO 103","","200703697","03224421 ","04/12/2007","216442.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","216442.00","Y",
"Department of the Air Force","","Contract Disputes","","","","200703820","03226941 ","04/19/2007","377318.37","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","377318.37","Y",
"Department of Agriculture","02584C  031548C","Contract Disputes","","15402584","","200704075","03232621 ","05/03/2007","41432.41","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","9469.99","41-USC-601et seq         ","Contract Disputes Act","50902.40","N",
"Department of the Interior","04-425C","Contract Disputes","","15404425","","200704708","03249381 ","06/11/2007","386808.84","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","66969.56","41-USC-601et seq         ","Contract Disputes Act","453778.40","N",
"Department of Navy","55026","Contract Disputes","","","","200704722","03249681 ","06/11/2007","55000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","355.99","41-USC-601et seq         ","Contract Disputes Act","55355.99","Y",
"General Services Administration","05912C","Contract Disputes","","15405912","","200704746","03250221 ","06/13/2007","70000.00","7-USC-2003               ","Agricultural Credit","0.00","","","0.00","","","0.00","","","70000.00","Y",
"Federal Labor Relations Authority","05575C","Contract Disputes","","15405575","","200704822","03252081 ","06/15/2007","37000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","37000.00","N",
"US Army Corps of Engineers","","Contract Disputes","","ASBCA53975","","200705443","03268571 ","07/05/2007","80000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","18626.02","41-USC-601et seq         ","Contract Disputes Act","98626.02","Y",
"Department of the Air Force","03177c","Contract Disputes","","15403177","","200705539","03270891 ","08/08/2007","135000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","135000.00","Y",
"Department of Navy","","Contract Disputes","","88785","","200705560","03271362 ","08/15/2007","946229.03","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","","Y",
"General Services Administration","","Contract Disputes","","428/706","","200706028","03284401 ","08/13/2007","40000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","40000.00","Y",
"Forest Service","02943c","Contract Disputes","","15402943","","200706315","03303252 ","09/26/2007","820000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","225140.52","41-USC-601et seq         ","Contract Disputes Act",".27","Y",
"US Army Corps of Engineers","05-915C","Contract Disputes","","15405915","","200706362","03293241 ","08/29/2007","132000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","132000.00","N",
"Department of Veterans Affairs","","Contract Disputes","","CBCA NOS 20, 34","","200706426","03294841 ","08/29/2007","707006.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","707006.00","Y",
"Department of Veterans Affairs","","Contract Disputes","","CBCA NOS 20, 34","","200706426","03294842 ","09/05/2007","0.00","","","0.00","","","0.00","","","49066.70","41-USC-601et seq         ","Contract Disputes Act","","Y",
"Department of Agriculture","02943c","Contract Disputes","","15402944","","200706428","03294881 ","09/13/2007","950000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","242461.42","41-USC-601et seq         ","Contract Disputes Act","1192461.42","Y",
"General Services Administration","041601c","Contract Disputes","","DJ154041601","","200706429","03294921 ","08/29/2007","299990.52","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","299990.52","Y",
"Department of Veterans Affairs","","Contract Disputes","","CBCA377574575","","200706473","03296001 ","08/31/2007","80506.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","16381.84","41-USC-601et seq         ","Contract Disputes Act","84601.46","Y",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605509","03158841 ","12/08/2006","0.00","","","0.00","","","0.00","","","1.42","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","1.42","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605510","03158851 ","12/12/2006","0.00","","","0.00","","","0.00","","","1.03","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","1.03","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605511","03158861 ","12/21/2006","0.00","","","0.00","","","0.00","","","202.45","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","202.45","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605512","03158871 ","12/19/2006","0.00","","","0.00","","","0.00","","","83.99","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","83.99","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605513","03158881 ","12/19/2006","0.00","","","0.00","","","0.00","","","139.64","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","139.64","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605514","03158891 ","12/19/2006","0.00","","","0.00","","","0.00","","","44.39","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","44.39","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605515","03158901 ","12/19/2006","0.00","","","0.00","","","0.00","","","2.54","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","2.54","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605516","03158911 ","12/19/2006","0.00","","","0.00","","","0.00","","","6.12","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","6.12","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605517","03158921 ","12/19/2006","0.00","","","0.00","","","0.00","","","3.62","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","3.62","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605518","03158931 ","12/19/2006","0.00","","","0.00","","","0.00","","","6.25","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","6.25","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605519","03158941 ","12/19/2006","0.00","","","0.00","","","0.00","","","4.41","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","4.41","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605520","03158951 ","12/19/2006","0.00","","","0.00","","","0.00","","","10.94","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","10.94","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605521","03158961 ","12/19/2006","0.00","","","0.00","","","0.00","","","7.97","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","7.97","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605522","03158971 ","12/19/2006","0.00","","","0.00","","","0.00","","","145.14","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","145.14","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605523","03158981 ","12/19/2006","0.00","","","0.00","","","0.00","","","26.96","29-USC-206(d) CT of F Cl ","Equal Pay Act/FLSA","26.96","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605524","03158991 ","12/19/2006","0.00","","","0.00","","","0.00","","","9.32","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","9.32","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605525","03159001 ","12/19/2006","0.00","","","0.00","","","0.00","","","331.74","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","331.74","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605526","03159011 ","12/19/2006","0.00","","","0.00","","","0.00","","","131.68","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","131.68","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605527","03159021 ","12/19/2006","501.82","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","501.82","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605528","03159031 ","12/19/2006","0.00","","","0.00","","","0.00","","","136.18","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","136.18","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605529","03159041 ","12/19/2006","0.00","","","0.00","","","0.00","","","4.13","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","4.13","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605530","03159051 ","12/19/2006","0.00","","","0.00","","","0.00","","","399.92","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","399.92","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605531","03159061 ","12/19/2006","0.00","","","0.00","","","0.00","","","6.04","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","6.04","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605532","03159071 ","12/14/2006","0.00","","","0.00","","","0.00","","","69.87","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","69.87","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605533","03159081 ","12/14/2006","0.00","","","0.00","","","0.00","","","26.96","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","26.96","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605534","03159091 ","12/19/2006","0.00","","","0.00","","","0.00","","","1.32","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","1.32","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605535","03159141 ","12/18/2006","0.00","","","0.00","","","0.00","","","1.00","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","1.00","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605536","03159151 ","12/18/2006","0.00","","","0.00","","","0.00","","","84.54","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","84.54","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605537","03159161 ","12/18/2006","0.00","","","0.00","","","0.00","","","21.22","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","21.22","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605538","03159171 ","12/18/2006","0.00","","","0.00","","","0.00","","","383.43","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","383.43","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605539","03159181 ","12/18/2006","0.00","","","0.00","","","0.00","","","35.42","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","35.42","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605540","03159191 ","12/18/2006","0.00","","","0.00","","","0.00","","","107.59","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","107.59","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605541","03159201 ","12/18/2006","0.00","","","0.00","","","0.00","","","5.69","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","5.69","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605542","03159211 ","12/18/2006","0.00","","","0.00","","","0.00","","","491.73","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","491.73","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605543","03159221 ","12/18/2006","0.00","","","0.00","","","0.00","","","106.10","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","106.10","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605544","03159231 ","12/18/2006","0.00","","","0.00","","","0.00","","","35.17","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","35.17","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605545","03159241 ","12/18/2006","0.00","","","0.00","","","0.00","","","120.78","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","120.78","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605546","03159251 ","12/18/2006","0.00","","","0.00","","","0.00","","","26.69","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","26.69","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605547","03159261 ","12/18/2006","0.00","","","0.00","","","0.00","","","76.11","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","76.11","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605548","03159271 ","12/18/2006","0.00","","","0.00","","","0.00","","","22.59","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","22.59","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605549","03159281 ","12/18/2006","0.00","","","0.00","","","0.00","","","21.05","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","21.05","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605550","03159291 ","12/18/2006","0.00","","","0.00","","","0.00","","","2.03","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","2.03","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605551","03159301 ","12/18/2006","0.00","","","0.00","","","0.00","","","2.27","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","2.27","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605552","03159311 ","12/18/2006","0.00","","","0.00","","","0.00","","","7.60","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","7.60","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605553","03159321 ","12/18/2006","0.00","","","0.00","","","0.00","","","35.38","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","35.38","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605554","03159331 ","12/18/2006","0.00","","","0.00","","","0.00","","","296.18","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","296.18","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605555","03159341 ","12/18/2006","0.00","","","0.00","","","0.00","","","45.83","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","45.83","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605556","03159351 ","12/18/2006","0.00","","","0.00","","","0.00","","",".86","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs",".86","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605557","03159361 ","12/18/2006","0.00","","","0.00","","","0.00","","","1.78","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","1.78","N",
"Customs and Border Protection","96480C AND 964801C","Court Of Federal Claims","","154-96-480","","200605558","03159371 ","12/18/2006","0.00","","","0.00","","","0.00","","","257.71","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","257.71","N",
