Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"Department of the Air Force","57468, 58128","Board of Contract Appeals","","57468, 58128","","201204851","048232012","08/01/2012","53800000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","53800000.00","Y",
"Department of the Air Force","57468, 58128","Board of Contract Appeals","","57468, 58128","","201204851","048242012","08/01/2012","53800000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","53800000.00","Y",
"Indian Health Svc","921-ISDA & 1021-1025 ISDA","Board of Contract Appeals","","NONE PROVIDED","","201205081","050742012","08/09/2012","2000000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","2000000.00","Y",
"Indian Health Svc","CBCA 542-ISDA, 591-ISDA, and 592-ISDA","Board of Contract Appeals","",""Intentionally Blank"","","201205093","051282012","08/16/2012","1000000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1000000.00","Y",
"Department of Veterans Affairs","CBCA2561","Board of Contract Appeals","","NA","NA","201205581","055312012","09/07/2012","746000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","746000.00","Y",
"Department of Veterans Affairs","","Contract Disputes","","316/64546","","201105757","059902011","11/03/2011","50000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","65.07","41-USC-601et seq         ","Contract Disputes Act","50065.07","Y",
"Indian Health Svc","","Contract Disputes","","Intentionally Blank","","201105891","061432011","10/07/2011","125000.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","0.00","","","125000.00","Y",
"Department of Navy; Department of the Army","","Contract Disputes","","ASBCA  57727; 57727","","201200633","006952012","11/30/2011","11914004.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","2935067.60","41-USC-601et seq         ","Contract Disputes Act","14849071.60","Y",
"Forest Service","94, 102, 106, 137, 138, 139 & 140","Contract Disputes","","558317 656400 656350 656426","","201200698","005012012","11/18/2011","175000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","175000.00","Y",
"General Services Administration","","Contract Disputes","","GS-04P-02-EXC-0077","","201200724","006692012","11/30/2011","12757000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","46312.50","41-USC-601et seq         ","Contract Disputes Act","2330358.39","41-USC-601et seq         ","Contract Disputes Act","15133670.89","Y",
"General Services Administration","","Contract Disputes","","CBCA 1460","","201200778","006392012","11/30/2011","457972.98","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","88734.59","41-USC-601et seq         ","Contract Disputes Act","546707.57","Y",
"Department of the Air Force","","Contract Disputes","","FA3030-090-D-0003-0031","","201204434","043842012","07/10/2012","23000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","23000.00","Y",
"Department of Health and Human Services","","Contract Disputes","","60G950020","","201204519","045532012","07/19/2012","7123050.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","7123050.00","Y",
"Department of the Air Force","57464","Contract Disputes","","57464","","201205812","057622012","09/19/2012","6300000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","6300000.00","Y",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104219","064402011","09/12/2012","237.08","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","237.08","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104219","064412011","09/12/2012","2005.33","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","2005.33","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104219","064422011","09/12/2012","265.73","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","265.73","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104433","064352011","05/09/2012","697.84","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","697.84","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063772011","12/27/2011","17.04","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","17.04","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063782011","12/27/2011","25.85","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","25.85","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063792011","12/27/2011","1240.40","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","1240.40","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063802011","12/27/2011","135.46","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","135.46","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063822011","12/27/2011","78.93","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","78.93","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063832011","12/27/2011","40.18","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","40.18","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063842011","12/27/2011","38.24","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","38.24","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063862011","12/27/2011","202.00","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","202.00","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063872011","12/27/2011","101.40","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","101.40","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063882011","12/27/2011","373.72","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","373.72","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063892011","12/27/2011","64.62","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","64.62","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063902011","12/27/2011","384.65","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","384.65","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063912011","12/27/2011","17.69","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","17.69","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063922011","12/27/2011","177.83","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","177.83","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063952011","12/27/2011","67.38","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","67.38","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063962011","12/27/2011","621.74","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","621.74","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063982011","12/27/2011","38.16","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","38.16","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","063992011","12/27/2011","42.21","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","42.21","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","064002011","12/27/2011","359.93","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","359.93","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","064022011","12/27/2011","278.79","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","278.79","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","064032011","12/27/2011","81.65","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","81.65","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","064042011","12/27/2011","8.37","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","8.37","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","064052011","12/27/2011","93.61","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","93.61","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","064062011","12/27/2011","1602.94","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","1602.94","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","064082011","12/27/2011","219.60","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","219.60","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","064092011","12/27/2011","50.14","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","50.14","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","064292011","04/13/2012","343.03","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","343.03","N",
"Department of Navy","04-1334","Court Of Federal Claims","","Intentionally Blank","","201104460","064302011","04/13/2012","107.59","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","107.59","N",
"Surface Transportation Board","08-324L,08-435L,08-453L,08-457L","Court Of Federal Claims","","90-1-23-12494","","201105273","063322011","11/04/2011","0.00","","","0.00","","","735000.00","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","735000.00","N",
"Immigration & Custom","05-142","Court Of Federal Claims","","154-05-142","","201105642","063442011","11/18/2011","889.51","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","889.51","N",
"Immigration & Custom","05-142","Court Of Federal Claims","","154-05-142","","201105642","063452011","11/18/2011","113.61","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","113.61","N",
"Immigration & Custom","05-142","Court Of Federal Claims","","154-05-142","","201105642","063462011","11/18/2011","345.68","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","345.68","N",
"Immigration & Custom","05-142","Court Of Federal Claims","","154-05-142","","201105642","063472011","11/18/2011","28.04","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","28.04","N",
"Immigration & Custom","05-142","Court Of Federal Claims","","154-05-142","","201105642","063482011","11/18/2011","839.48","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","839.48","N",
"Immigration & Custom","05-142","Court Of Federal Claims","","154-05-142","","201105642","063492011","11/18/2011","1059.98","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","1059.98","N",
"Immigration & Custom","05-142","Court Of Federal Claims","","154-05-142","","201105642","063502011","11/18/2011","1497.55","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","1497.55","N",
"Immigration & Nat","","Court Of Federal Claims","","A098-461-609","","201105775","062772011","10/27/2011","0.00","","","0.00","","","518.40","28-USC-2412(a)           ","Costs Per 28 USC 1920","0.00","","","518.40","N",
"Office of the Secretary of Defense - Agencies","10-76","Court Of Federal Claims","","154-10-76","","201105800","062612011","10/20/2011","164715.76","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","164715.76","N",
"Department of Health and Human Services","03-1613","Court Of Federal Claims","","154-03-1613","","201105904","062702011","10/20/2011","333000.00","28-USC-1505 Treaty       ","Indian Tribe Treaty Claims","0.00","","","0.00","","","0.00","","","333000.00","N",
"Department of the Army","10-587","Court Of Federal Claims","","154-10-587","","201200047","000272012","10/20/2011","343490.09","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","343490.09","N",
"Department of Agriculture","2008-3222","Court Of Federal Claims","","154-F08-379","","201200049","004502012","11/09/2011","0.00","","","24723.50","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","24723.50","N",
"Department of Energy","01-116","Court Of Federal Claims","","154-01-116","","201200050","001502012","10/21/2011","10336941.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","10336941.00","N",
"Forest Service","98-405","Court Of Federal Claims","","154-98-405","","201200198","002052012","10/26/2011","625000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","459883.26","41-USC-601et seq         ","Contract Disputes Act","1084883.26","Y",
"Department of Energy","98-486","Court Of Federal Claims","","154-98-486","","201200199","003712012","11/01/2011","14125864.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","14125864.00","N",
"Department of Energy","04-98","Court Of Federal Claims","","154-04-98","","201200200","004272012","11/07/2011","24332655.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","24332655.00","N",
"Department of Energy","98-483","Court Of Federal Claims","","154-98-483","","201200201","004532012","11/10/2011","76119246.08","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","76119246.08","N",
"Department of the Interior; Department of the Treasury","99-550 L & 00-169L (CONS)","Court Of Federal Claims","","9022009634,9022009922,902411190; 9022009634,9022009922,902411190","","201200443","004082012","11/10/2011","345800000.00","28-USC-1491 Indian Claim ","Indiviual Indian Claim-cite basis for award in comments","0.00","","","0.00","","","0.00","","","345800000.00","N",
"Department of the Interior; Department of the Treasury","99-550 L & 00-169L (CONS)","Court Of Federal Claims","","9022009634,9022009922,902411190; 9022009634,9022009922,902411190","","201200443","004092012","11/04/2011","26100000.00","28-USC-1491 Indian Claim ","Indiviual Indian Claim-cite basis for award in comments","0.00","","","0.00","","","0.00","","","26100000.00","N",
"Department of the Interior; Department of the Treasury","99-550 L & 00-169L (CONS)","Court Of Federal Claims","","9022009634,9022009922,902411190; 9022009634,9022009922,902411190","","201200443","004102012","11/04/2011","8100000.00","28-USC-1491 Indian Claim ","Indiviual Indian Claim-cite basis for award in comments","0.00","","","0.00","","","0.00","","","8100000.00","N",
"Department of Energy","04-109","Court Of Federal Claims","","154-04-109","","201200496","006332012","11/25/2011","90000000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","90000000.00","N",
"Department of Energy","04-109","Court Of Federal Claims","","154-04-109","","201200497","006342012","11/25/2011","52394294.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","52394294.00","N",
"Department of State; Homeland Security","10-3 C","Court Of Federal Claims","","154-10-0003; 154-10-0003","","201200566","006052012","12/14/2011","425000.00","28-USC-1498              ","Patent/Copyright Infringement","0.00","","","0.00","","","0.00","","","425000.00","N",
"Broadcasting Board of Governors","10-603","Court Of Federal Claims","","154-10-603","","201200620","005482012","11/18/2011","60300.94","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","60300.94","N",
"Department of Navy","10-217","Court Of Federal Claims","","154-10-217","","201200621","004982012","11/17/2011","1850000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1850000.00","Y",
"Department of Navy","10-694","Court Of Federal Claims","","154-10-694","","201200622","005572012","11/18/2011","4700000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","4700000.00","Y",
"Drug Enforcement Adm","90-162C","Court Of Federal Claims","","154-90-162","","201200672","005832012","11/22/2011","3112.93","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","3112.93","N",
"Department of Energy","04-102","Court Of Federal Claims","","154-04-102","","201200785","010052012","12/20/2011","90000000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","90000000.00","N",
"Department of Energy","04-102","Court Of Federal Claims","","154-04-102","","201200786","007972012","12/07/2011","11561358.68","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","11561358.68","N",
"Department of the Army","09-819C","Court Of Federal Claims","","154-09-819","","201200788","008712012","12/09/2011","58866.08","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","58866.08","N",
"Department of the Army","09-819C","Court Of Federal Claims","","154-09-819","","201200788","008722012","12/09/2011","174945.25","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","174945.25","N",
"Department of the Army","09-819C","Court Of Federal Claims","","154-09-819","","201200788","008732012","12/09/2011","96224.17","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","96224.17","N",
"Department of the Army","09-819C","Court Of Federal Claims","","154-09-819","","201200788","008742012","12/09/2011","34785.56","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","34785.56","N",
"Department of the Army","09-819C","Court Of Federal Claims","","154-09-819","","201200788","008752012","12/09/2011","11449.86","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","11449.86","N",
"Department of Energy","01-551","Court Of Federal Claims","","154-01-551","","201201003","010452012","12/23/2011","12746657.28","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","12746657.28","N",
"Department of Energy","04-37","Court Of Federal Claims","","154-04-37","","201201004","013172012","01/09/2012","91920803.87","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","91920803.87","N",
"Department of Energy","04-37","Court Of Federal Claims","","154-04-37","","201201005","007932012","12/07/2011","0.00","","","0.00","","","36797.13","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","36797.13","N",
"Department of Energy","04-70","Court Of Federal Claims","","154-04-70","","201201006","012992012","01/09/2012","10899719.28","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","10899719.28","N",
"Department of Labor","154-10-758","Court Of Federal Claims","","154-10-758","","201201150","010182012","12/22/2011","259708.87","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","259708.87","Y",
"Department of Veterans Affairs","154-09-457","Court Of Federal Claims","","154-09-457","","201201154","013322012","01/11/2012","150000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","150000.00","Y",
"Department of Transportation","154-09-686","Court Of Federal Claims","","154-06-686","","201201155","011292012","12/29/2011","165000.00","28-USC-1491 Implied Contr","Breach of Implied Contract","0.00","","","0.00","","","0.00","","","165000.00","N",
"Department of Transportation","09-884","Court Of Federal Claims","","154-09-884","","201201211","018672012","02/08/2012","191351.88","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","191351.88","N",
"Department of Energy","04-118","Court Of Federal Claims","","154-04-118","","201201264","013192012","01/09/2012","13501217.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","13501217.00","N",
"Department of Energy","04-118","Court Of Federal Claims","","154-04-118","","201201264","013202012","01/09/2012","54365250.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","54365250.00","N",
"Department of Energy","04-118","Court Of Federal Claims","","154-04-118","","201201264","015422012","01/23/2012","10000000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","10000000.00","N",
"Department of Commerce; Department of Health and Human Services; Department of Housing and Urban Development; Department of Justice; Department of Labor; Department of Navy; Department of State; Department of the Interior; Department of the Treasury; Department of Transportation; Environmental Protection Agency; Fed Aviation Admin; Fed Bureau of Invest; Federal Deposit Insurance Corp; Food & Drug Adm; General Services Administration; Marshals Service; National Aeronautics and Space Administration; Office of Personnel Management; Office of the Secretary of Defense - Agencies; Railroad Retirement Board; Small Business Administration; Social Security Administration","90-162","Court Of Federal Claims","","154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162","","201201527","017682012","02/06/2012","96863.82","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","96863.82","N",
"Department of Commerce; Department of Health and Human Services; Department of Housing and Urban Development; Department of Justice; Department of Labor; Department of Navy; Department of State; Department of the Interior; Department of the Treasury; Department of Transportation; Environmental Protection Agency; Fed Aviation Admin; Fed Bureau of Invest; Federal Deposit Insurance Corp; Food & Drug Adm; General Services Administration; Marshals Service; National Aeronautics and Space Administration; Office of Personnel Management; Office of the Secretary of Defense - Agencies; Railroad Retirement Board; Small Business Administration; Social Security Administration","90-162","Court Of Federal Claims","","154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162","","201201527","017692012","02/06/2012","9364.13","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","9364.13","N",
"Department of Commerce; Department of Health and Human Services; Department of Housing and Urban Development; Department of Justice; Department of Labor; Department of Navy; Department of State; Department of the Interior; Department of the Treasury; Department of Transportation; Environmental Protection Agency; Fed Aviation Admin; Fed Bureau of Invest; Federal Deposit Insurance Corp; Food & Drug Adm; General Services Administration; Marshals Service; National Aeronautics and Space Administration; Office of Personnel Management; Office of the Secretary of Defense - Agencies; Railroad Retirement Board; Small Business Administration; Social Security Administration","90-162","Court Of Federal Claims","","154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162","","201201527","017702012","02/06/2012","27757.72","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","27757.72","N",
"Department of Commerce; Department of Health and Human Services; Department of Housing and Urban Development; Department of Justice; Department of Labor; Department of Navy; Department of State; Department of the Interior; Department of the Treasury; Department of Transportation; Environmental Protection Agency; Fed Aviation Admin; Fed Bureau of Invest; Federal Deposit Insurance Corp; Food & Drug Adm; General Services Administration; Marshals Service; National Aeronautics and Space Administration; Office of Personnel Management; Office of the Secretary of Defense - Agencies; Railroad Retirement Board; Small Business Administration; Social Security Administration","90-162","Court Of Federal Claims","","154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162; 154-90-162","","201201527","017712012","02/07/2012","2602.40","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","2602.40","N",
