Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"Department of the Army","ASBCA 56446","Contract Disputes","","DAJA76-87-C-0866","","201002556","053562010","04/14/2010","525000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","525000.00","Y",
"US Army Corps of Engineers","","Contract Disputes","","n/a","n/a","201002896","057722010","04/14/2010","3400000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","285925.61","41-USC-601et seq         ","Contract Disputes Act","3685925.61","Y",
"US Army Corps of Engineers","","Contract Disputes","","56684 THROUGH 56690","","201002988","060722010","04/28/2010","370000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","370000.00","Y",
"Department of Navy","","Contract Disputes","","ASBCA 57064","ASBCA 57064","201003373","069142010","05/17/2010","39000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","39000.00","Y",
"US Army Corps of Engineers","ASBCA NOS 56732, 56733, 56731","Contract Disputes","","ASBCA 56732, 56733, 56734","","201004031","081162010","06/16/2010","550000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","550000.00","Y",
"General Services Administration","","Contract Disputes","","CBCA 1036 1340","","201004471","092322010","07/14/2010","5000000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","5000000.00","Y",
"Department of Navy","56935","Contract Disputes","","NONE PROVIDED","NONE PROVIDED","201005001","099872010","08/10/2010","46924.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","46924.00","Y",
"Indian Health Svc","","Contract Disputes","","CONTRACT NOS. 248-0036 ETC","","201005052","100672010","08/13/2010","250000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","250000.00","Y",
"Department of Navy","","Contract Disputes","","NONE PROVIDED","NONE PROVIDED","201005087","101032010","08/17/2010","161478.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","55206.37","41-USC-601et seq         ","Contract Disputes Act","216684.37","Y",
"Department of Veterans Affairs","","Contract Disputes","","CBCA # 1704","","201005334","107222010","09/02/2010","4767025.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","4767025.00","Y",
"Department of the Army","","Contract Disputes","","ASBCA # 56078 & # DAAH23C0226","","201005393","108752010","09/08/2010","6500000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","6500000.00","Y",
"Department of the Army","","Contract Disputes","","ASBCA # 56229 #W912D105A0067","","201005501","109972010","09/21/2010","225000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","225000.00","Y",
"General Services Administration","CBCA 1460","Contract Disputes","","GS-049-02-EXC-0077","","201005570","111672010","09/17/2010","1434544.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","8351.80","41-USC-601et seq         ","Contract Disputes Act","1442895.80","Y",
"National Aeronautics and Space Administration","07-130","Court Of Federal Claims","","154-07-130","","200905508","087732009","10/06/2009","38000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","38000.00","Y",
"Department of Agriculture","04-1736","Court Of Federal Claims","","04-1736","","200905922","087852009","10/06/2009","3007863.19","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","3007863.19","N",
"Department of Energy","01-551C","Court Of Federal Claims","","154-01-551","","201000145","004952010","10/23/2009","57126518.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","57126518.00","N",
"Department of the Army","07-867","Court Of Federal Claims","","154-07-867","","201000163","004752010","10/20/2009","0.00","","","0.00","","","33255.85","28-USC-2412(a)           ","Costs Per 28 USC 1920","0.00","","","33255.85","N",
"Department of the Air Force","98-9439","Court Of Federal Claims","","154-98-9439","","201000219","004812010","10/20/2009","571670.52","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","571670.52","N",
"Department of the Air Force","98-9439","Court Of Federal Claims","","154-98-9439","","201000219","004832010","10/19/2009","220412.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","220412.00","N",
"Department of the Air Force","98-9435","Court Of Federal Claims","","154-98-9435","","201000221","004852010","10/19/2009","15497.85","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","15497.85","N",
"Department of the Army","08-434","Court Of Federal Claims","","154-08-434","","201000352","013622010","11/20/2009","2156617.44","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","269447.87","41-USC-601et seq         ","Contract Disputes Act","2426065.31","Y",
"Department of the Army","08-434","Court Of Federal Claims","","154-08-434","","201000352","013642010","11/23/2009","107560.25","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","8174.05","41-USC-601et seq         ","Contract Disputes Act","115734.30","Y",
"Department of the Army","08-434","Court Of Federal Claims","","154-08-434","","201000352","013662010","11/23/2009","91238.35","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","5834.64","41-USC-601et seq         ","Contract Disputes Act","97072.99","Y",
"Internal Revenue Service/S&E","90-162","Court Of Federal Claims","","154-90-162","","201000409","011612010","11/16/2009","17489.81","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","17489.81","N",
"Bureau of Prisons","01-639","Court Of Federal Claims","","154-01-639","","201000450","010612010","11/09/2009","440000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","440000.00","Y",
"Department of Navy","03-2033 V","Court Of Federal Claims","","03-2033 C","","201000465","008732010","11/03/2009","13000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","13000.00","N",
"Department of the Army","07-425","Court Of Federal Claims","","154-07-425","","201000498","010292010","11/09/2009","200000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","200000.00","Y",
"Department of the Air Force","08-246","Court Of Federal Claims","","154-08-246","","201000499","011292010","11/12/2009","0.00","","","0.00","","","460.18","28-USC-2412(a)           ","Costs Per 28 USC 1920","0.00","","","460.18","N",
"Department of Health and Human Services","07-858","Court Of Federal Claims","","154-07-858","","201000500","010372010","11/09/2009","0.00","","","0.00","","","377904.00","28-USC-2412(a)           ","Costs Per 28 USC 1920","0.00","","","377904.00","N",
"Department of Navy","95-396","Court Of Federal Claims","","154-95-396","","201000501","010332010","11/09/2009","400.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","129.66","41-USC-601et seq         ","Contract Disputes Act","529.66","Y",
"Department of Veterans Affairs","2008-3275","Court Of Federal Claims","","154-F08-474","","201000629","012892010","11/19/2009","50000.00","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","50000.00","N",
"Drug Enforcement Adm","08-503","Court Of Federal Claims","","154-08-503","","201000633","016022010","12/02/2009","76420.98","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","76420.98","N",
"Drug Enforcement Adm","08-503","Court Of Federal Claims","","154-08-503","","201000633","016042010","12/01/2009","17719.98","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","17719.98","N",
"Drug Enforcement Adm","08-503","Court Of Federal Claims","","154-08-503","","201000633","016062010","12/01/2009","4151.83","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","4151.83","N",
"Department of the Interior","2008-3310","Court Of Federal Claims","","154-F08-542","","201000720","014182010","11/24/2009","160000.00","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","160000.00","N",
"Forest Service","01-570","Court Of Federal Claims","","154-01-570","","201000721","015402010","11/25/2009","200000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","96994.99","41-USC-601et seq         ","Contract Disputes Act","296994.99","Y",
"Forest Service","04-501","Court Of Federal Claims","","154-04-501","","201000772","015242010","11/25/2009","500000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","151541.93","41-USC-601et seq         ","Contract Disputes Act","651541.93","Y",
"US Army Corps of Engineers","154-08-417","Court Of Federal Claims","","154-08-417","","201000780","022882010","12/18/2009","270000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","67678.92","41-USC-601et seq         ","Contract Disputes Act","337678.92","Y",
"Internal Revenue Service/S&E","90-162","Court Of Federal Claims","","154-90-162","","201000951","018452010","12/07/2009","27031.03","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","27031.03","N",
"Internal Revenue Service/S&E","90-162","Court Of Federal Claims","","154-90-162","","201000951","018472010","12/07/2009","2332.07","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","2332.07","N",
"US Army Corps of Engineers","00-115-L","Court Of Federal Claims","","90-1-23-09920","","201001053","023292010","12/17/2009","1440000.00","42-USC-4654              ","Litigation Expenses In Inverse Condemnation Cases","0.00","","","0.00","","","0.00","","","1440000.00","N",
"Department of the Army","08-475","Court Of Federal Claims","","154-08-475","","201001068","023532010","12/18/2009","2216592.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","353147.82","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","2569739.82","N",
"General Services Administration","09-592","Court Of Federal Claims","","154-09-592","","201001069","020822010","12/18/2009","53391.25","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","53391.25","N",
"Department of Housing and Urban Development","0-333","Court Of Federal Claims","","154-0-333","","201001310","037432010","02/05/2010","200000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","200000.00","N",
"National Aeronautics and Space Administration","00-705 C","Court Of Federal Claims","","NONE PROVIDED","","201001318","024952010","12/30/2009","20000000.00","28-USC-1498              ","Patent/Copyright Infringement","0.00","","","0.00","","","0.00","","","20000000.00","N",
"Department of the Army","07-4","Court Of Federal Claims","","154-07-4","","201001506","030272010","01/15/2010","8000000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","8000000.00","Y",
"Department of the Army","08-121","Court Of Federal Claims","","154-08-121","","201001509","031482010","01/20/2010","3000000.00","28-USC-1491 Implied Contr","Breach of Implied Contract","0.00","","","0.00","","","0.00","","","3000000.00","N",
"US Army Corps of Engineers","08-275","Court Of Federal Claims","","154-08-275","","201001537","030172010","01/15/2010","1650000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1650000.00","Y",
"Department of Energy","01-551C","Court Of Federal Claims","","154-01-551","","201001553","032122010","01/22/2010","8868716.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","8868716.00","N",
"Department of the Air Force","00-475","Court Of Federal Claims","","154-00-475","","201002200","045162010","03/09/2010","818256.87","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","507452.27","41-USC-601et seq         ","Contract Disputes Act","1325709.14","Y",
"Department of Navy","07-466","Court Of Federal Claims","","154-07-466","","201002203","044702010","03/08/2010","400000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","400000.00","Y",
"Department of Energy","98-485","Court Of Federal Claims","","154-98-485","","201002209","055032010","04/02/2010","5433322.31","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","5433322.31","N",
"Department of the Air Force","98-9440","Court Of Federal Claims","","154-98-9440","","201002374","048602010","03/18/2010","356990.03","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","356990.03","N",
"Department of the Air Force","98-9440","Court Of Federal Claims","","154-98-9440","","201002374","048622010","03/22/2010","57542.17","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","57542.17","N",
"Department of the Air Force","02-176","Court Of Federal Claims","","154-02-176","","201002375","047502010","03/16/2010","4325000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","4325000.00","Y",
"Department of the Air Force","04-1680","Court Of Federal Claims","","04-1680","","201002458","051682010","03/26/2010","210000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","62703.69","41-USC-601et seq         ","Contract Disputes Act","272703.69","Y",
"Environmental Protection Agency","09-577","Court Of Federal Claims","","09-577","","201002459","049522010","03/25/2010","4500.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","4500.00","Y",
"Social Security Administration","07-689C","Court Of Federal Claims","","154-07-689","","201002476","053302010","04/02/2010","86159.04","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","86159.04","N",
"Department of the Air Force","09-0018C","Court Of Federal Claims","","154-09-18","","201002616","056932010","04/13/2010","3957000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","3957000.00","Y",
"Department of Agriculture","06-641","Court Of Federal Claims","","154-06-641","","201002759","057792010","04/14/2010","1990000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","1990000.00","N",
"Department of Agriculture","96-699","Court Of Federal Claims","","96-99","","201002864","056952010","04/13/2010","1268881.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","1268881.00","N",
"Department of Health and Human Services","03-1316","Court Of Federal Claims","","154-03-1316","","201003011","060782010","04/22/2010","2986204.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","1146482.27","41-USC-601et seq         ","Contract Disputes Act","4132686.27","Y",
"General Services Administration","09-181","Court Of Federal Claims","","154-09-181","","201003044","072592010","05/25/2010","77813.86","28-USC-1491 Implied Contr","Breach of Implied Contract","0.00","","","0.00","","","0.00","","","77813.86","N",
"Natl Park Service","","Court Of Federal Claims","","SA - 154-08-717","","201003215","076762010","06/08/2010","35000.00","28-USC-1498              ","Patent/Copyright Infringement","0.00","","","0.00","","","0.00","","","35000.00","N",
"General Services Administration","09-347 C","Court Of Federal Claims","","154-09-347C","","201003347","069662010","05/26/2010","3564459.09","28-USC-1491 Implied Contr","Breach of Implied Contract","0.00","","","0.00","","","0.00","","","3564459.09","N",
"US Army Corps of Engineers","01-642","Court Of Federal Claims","","154-01-642","","201003432","069222010","05/17/2010","200000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","200000.00","Y",
"Department of the Air Force","154-08-62","Court Of Federal Claims","","154-08-62","","201003433","076182010","06/08/2010","235000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","235000.00","N",
"Department of the Air Force","NO 04-1210 L","Court Of Federal Claims","","90-1-23-11342","","201003474","071852010","05/25/2010","228243.04","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","228243.04","N",
"Department of Navy","CIV-03-2228-L","Court Of Federal Claims","","90-1-23-11058","","201003490","073402010","06/02/2010","60000.00","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","60000.00","N",
"Department of Energy","01-249","Court Of Federal Claims","","154-01-249","","201003551","071832010","05/21/2010","13476428.87","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","13476428.87","N",
"Bur of Reclamation","05-1042","Court Of Federal Claims","","154-05-1042","","201003652","075602010","06/08/2010","172954.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","14087.35","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","187041.35","N",
"Department of Housing and Urban Development","09-48","Court Of Federal Claims","","154-09-48","","201003657","095042010","07/22/2010","2139308.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","2139308.00","N",
"US Army Corps of Engineers","CIV-02-1031-L","Court Of Federal Claims","","90-1-23-10457","","201003672","077612010","06/15/2010","5000.00","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","5000.00","N",
"Department of Navy","09-579","Court Of Federal Claims","","27-9067","","201004196","088542010","07/07/2010","150000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","150000.00","N",
"Department of Energy","01-115","Court Of Federal Claims","","154-01-115","","201004262","087862010","07/01/2010","5811297.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","5811297.00","N",
"Department of Energy","98-483","Court Of Federal Claims","","154-98-483","","201004263","087822010","07/01/2010","31589000.77","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","31589000.77","N",
"Exec Offfice of the President","08-769","Court Of Federal Claims","","154-08-769","","201004354","090902010","07/08/2010","229593.75","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","229593.75","N",
"Exec Offfice of the President","08-769","Court Of Federal Claims","","154-08-769","","201004354","090922010","09/23/2010","20406.25","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","20406.25","N",
"Exec Offfice of the President","08-769","Court Of Federal Claims","","154-08-769","","201004354","090942010","09/23/2010","4781.25","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","4781.25","N",
"Department of Energy","154-98-485","Court Of Federal Claims","","154-98-485","","201004434","089102010","07/07/2010","7984934.64","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","7984934.64","N",
"Department of Energy","154-04-101","Court Of Federal Claims","","154-04-101","","201004435","088742010","07/07/2010","291750.48","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","291750.48","N",
"General Services Administration","09-500","Court Of Federal Claims","","154--09-500","","201004436","088002010","07/07/2010","871747.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","77.62","41-USC-601et seq         ","Contract Disputes Act","871824.62","Y",
"Department of Veterans Affairs","154-09-751","Court Of Federal Claims","","154-09-751","","201004554","100412010","08/16/2010","45500.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","45500.00","N",
"Department of Education","154-07-854","Court Of Federal Claims","","154-07-854","","201004555","111922010","09/23/2010","3948.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","3948.00","N",
"Department of Veterans Affairs","154-09-226","Court Of Federal Claims","","154-09-226","","201004557","092002010","07/14/2010","15000.00","29-USC-206(d) CT of F Cl ","Equal Pay Act/FLSA","0.00","","","0.00","","","0.00","","","15000.00","Y",
"Department of Veterans Affairs","154-08-18","Court Of Federal Claims","","154-08-18","","201004558","099922010","08/10/2010","56741.00","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","56741.00","N",
"Fed Aviation Admin","08-262C","Court Of Federal Claims","","154-08-262","","201004712","094462010","07/21/2010","315000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","315000.00","N",
"Fed Aviation Admin","04-9314","Court Of Federal Claims","","154-04-93","","201004951","105712010","08/26/2010","13638.29","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","13638.29","N",
"US Army Corps of Engineers","06-891","Court Of Federal Claims","","154-06-891","","201004952","112902010","09/27/2010","47500.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","47500.00","Y",
"Department of the Air Force","03-1242","Court Of Federal Claims","","154-03-1242","","201005020","100892010","08/16/2010","87624.50","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","35409.45","41-USC-601et seq         ","Contract Disputes Act","123033.95","Y",
"Fed Aviation Admin","04-9315","Court Of Federal Claims","","154-04-9315","","201005021","105732010","08/26/2010","14012.56","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","14012.56","N",
