Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"Department of Veterans Affairs","084508","Court Of Federal Claims","","NOT PROVIDED","","200900985","010092009","12/12/2008","300000.00","28-USC-2677 Med Mal      ","Federal Tort Claims Act/Settlement/Med Mal","0.00","","","0.00","","","0.00","","","300000.00","N",
"US Army Corps of Engineers","07-218C","Court Of Federal Claims","","N/A","","200901050","010912009","12/15/2008","775000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","775000.00","Y",
"Department of Agriculture","154-05-667","Court Of Federal Claims","","154-05-667","","200901085","029432009","12/29/2008","3100000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","3100000.00","N",
"Department of Agriculture","154-05-667","Court Of Federal Claims","","154-05-667","","200901086","029422009","12/29/2008","740000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","740000.00","N",
"Department of Housing and Urban Development","154-96-738","Court Of Federal Claims","","154-96-738","","200901321","031732008","01/12/2009","875000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","875000.00","N",
"Department of the Air Force","989-43C","Court Of Federal Claims","","154-98-943","","200901506","033032009","01/22/2009","955917.18","28-USC-1491 Implied Contr","Breach of Implied Contract","0.00","","","0.00","","","0.00","","","955917.18","N",
"US Army Corps of Engineers","154-05-840","Court Of Federal Claims","","154-05-840","","200901658","034362009","02/03/2009","269230.00","28-USC-1497              ","Oyster Growers' Damages","0.00","","","0.00","","","0.00","","","269230.00","N",
"US Army Corps of Engineers","154-05-1044","Court Of Federal Claims","","154-05-1044","","200901659","034372009","02/03/2009","205130.00","28-USC-1497              ","Oyster Growers' Damages","0.00","","","0.00","","","0.00","","","205130.00","N",
"US Army Corps of Engineers","154-08-825","Court Of Federal Claims","","154-08-825","","200901673","034382009","02/03/2009","25640.00","28-USC-1497              ","Oyster Growers' Damages","0.00","","","0.00","","","0.00","","","25640.00","N",
"Department of Veterans Affairs","154-07-395","Court Of Federal Claims","","154-07-395","","200901709","035262009","02/04/2009","114877.38","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","114877.38","N",
"Department of Veterans Affairs","2:07cv528","Court Of Federal Claims","","SA - 2007V01250","","200901719","034352009","02/03/2009","300000.00","28-USC-2677 Med Mal      ","Federal Tort Claims Act/Settlement/Med Mal","0.00","","","0.00","","","0.00","","","300000.00","N",
"Department of Veterans Affairs","154-07-270","Court Of Federal Claims","","154-07-270","","200901729","039372009","02/26/2009","42500.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","42500.00","Y",
"Department of Housing and Urban Development","154-07-218","Court Of Federal Claims","","154-07-218","","200901738","035282009","02/04/2009","903059.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","903059.00","N",
"Department of Navy","08-119C","Court Of Federal Claims","","DJ# 154-08-119","","200901843","036162009","02/06/2009","3000000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","3000000.00","N",
"Department of the Air Force","98-943C","Court Of Federal Claims","","NONE PROVIDED","","200901937","037492009","02/17/2009","171092.04","28-USC-1491 Implied Contr","Breach of Implied Contract","0.00","","","0.00","","","0.00","","","171092.04","N",
"Coast Guard","06-401L","Court Of Federal Claims","","90-1-23-11904","","200902045","037832009","02/17/2009","80000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","80000.00","N",
"Internal Revenue Service/S&E","154-90-162","Court Of Federal Claims","","154-90-162","","200902091","042212009","03/10/2009","464.89","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","464.89","N",
"Internal Revenue Service/S&E","154-90-162","Court Of Federal Claims","","154-90-162","","200902091","042222009","03/10/2009","108.93","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","108.93","N",
"Internal Revenue Service/S&E","154-90-162","Court Of Federal Claims","","154-90-162","","200902091","042232009","03/12/2009","1239.78","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","1239.78","N",
"Drug Enforcement Adm","154-90-162","Court Of Federal Claims","","154-90-162","","200902095","041842009","03/10/2009","95.33","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","95.93","N",
"Drug Enforcement Adm","154-90-162","Court Of Federal Claims","","154-90-162","","200902095","041852009","03/10/2009","22.33","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","22.33","N",
"Drug Enforcement Adm","154-90-162","Court Of Federal Claims","","154-90-162","","200902095","041862009","03/10/2009","33041.13","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","33041.13","N",
"Alcohol Tobacco Fire","154-90-162","Court Of Federal Claims","","154-90-162","","200902096","041872009","03/10/2009","761.55","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","761.55","N",
"Customs and Border Protection","154-90-162","Court Of Federal Claims","","154-90-162","","200902098","041962009","03/10/2009","53044.54","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","53044.54","N",
"Drug Enforcement Adm","154-90-162","Court Of Federal Claims","","154-90-162","","200902100","041882009","03/10/2009","4374.29","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","4374.29","N",
"Internal Revenue Service/S&E","154-90-162","Court Of Federal Claims","","154-90-162","","200902101","041912009","03/10/2009","22973.43","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","22973.43","N",
"Internal Revenue Service/S&E","154-90-162","Court Of Federal Claims","","154-90-162","","200902101","041922009","03/10/2009","1259.35","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","1259.35","N",
"Internal Revenue Service/S&E","154-90-162","Court Of Federal Claims","","154-90-162","","200902101","041932009","03/10/2009","66991.03","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","66991.03","N",
"Drug Enforcement Adm","154-07-718","Court Of Federal Claims","","154-07-718","","200902222","041122009","03/05/2009","7533.59","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","7533.59","N",
"Drug Enforcement Adm","154-07-718","Court Of Federal Claims","","154-07-718","","200902222","041132009","03/05/2009","1765.14","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","1765.14","N",
"Drug Enforcement Adm","154-07-718","Court Of Federal Claims","","154-07-718","","200902222","041142009","03/09/2009","31741.82","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","31741.82","N",
"Drug Enforcement Adm","154-07-205","Court Of Federal Claims","","154-07-205","","200902223","041152009","03/05/2009","5410.11","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","5410.11","N",
"Drug Enforcement Adm","154-07-205","Court Of Federal Claims","","154-07-205","","200902223","041162009","03/05/2009","1267.61","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","1267.61","N",
"Drug Enforcement Adm","154-07-205","Court Of Federal Claims","","154-07-205","","200902223","041172009","03/09/2009","23505.89","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","23505.89","N",
"General Services Administration","CIV-06-589C","Court Of Federal Claims","","CIV-06-589C","","200902231","053662009","05/18/2009","65279.50","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","65279.50","Y",
"Department of the Air Force","06-75C","Court Of Federal Claims","","DJ#154-06-75","","200902263","040052009","03/02/2009","3650000.00","28-USC-1491 Implied Contr","Breach of Implied Contract","0.00","","","0.00","","","0.00","","","3650000.00","N",
"Department of the Interior; Department of the Treasury","02-126L","Court Of Federal Claims","","NOT PROVIDED; NOT PROVIDED","","200902273","040902009","03/05/2009","68000000.00","28-USC-1491 Indian Claim ","Indiviual Indian Claim-cite basis for award in comments","0.00","","","0.00","","","0.00","","","68000000.00","N",
"Bureau of Prisons","154-03-446","Court Of Federal Claims","","154-03-446","","200902588","044662009","03/24/2009","647.70","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","647.70","N",
"Department of the Air Force","154-98-9437","Court Of Federal Claims","","154-98-9437","","200902655","044642009","03/23/2009","135475.15","29-USC-206(d) CT of F Cl ","Equal Pay Act/FLSA","0.00","","","0.00","","","0.00","","","135475.15","N",
"Department of Navy","154-F08-130","Court Of Federal Claims","","154-F08-130","","200902752","048202009","04/15/2009","8000.00","29-USC-216 US Dict Ct    ","FLSA Penalties - Attny Fees&Costs US Dict Court","0.00","","","0.00","","","0.00","","","8000.00","N",
"Department of the Army","154-07-624","Court Of Federal Claims","","154-07-624","","200902804","045782009","03/30/2009","53025.08","37-USC-204               ","Military Pay Act - Basic Pay","0.00","","","0.00","","","0.00","","","53025.08","N",
"Department of the Army","154-07-624","Court Of Federal Claims","","154-07-624","","200902899","048572009","04/02/2009","9820.41","37-USC-204               ","Military Pay Act - Basic Pay","0.00","","","0.00","","","0.00","","","9820.41","N",
"Drug Enforcement Adm","154-07-434","Court Of Federal Claims","","154-07-434","","200903041","048522009","04/14/2009","88309.37","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","88309.37","N",
"Drug Enforcement Adm","154-07-434","Court Of Federal Claims","","154-07-434","","200903041","048532009","04/14/2009","20306.63","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","20306.63","N",
"Drug Enforcement Adm","154-07-434","Court Of Federal Claims","","154-07-434","","200903041","048542009","04/14/2009","4612.87","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","4612.87","N",
"Drug Enforcement Adm","154-07-731","Court Of Federal Claims","","154-07-731","","200903043","049092009","04/16/2009","20184.48","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","20184.48","N",
"Drug Enforcement Adm","154-07-731","Court Of Federal Claims","","154-07-731","","200903043","049102009","04/16/2009","4637.41","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","4637.41","N",
"Drug Enforcement Adm","154-07-731","Court Of Federal Claims","","154-07-731","","200903043","049112009","04/16/2009","1086.56","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","1086.56","N",
"Drug Enforcement Adm","154-07-361","Court Of Federal Claims","","154-07-361","","200903045","049132009","04/16/2009","28789.99","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","28789.99","N",
"Drug Enforcement Adm","154-07-361","Court Of Federal Claims","","154-07-361","","200903045","049142009","04/16/2009","6639.34","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","6639.34","N",
"Drug Enforcement Adm","154-07-361","Court Of Federal Claims","","154-07-361","","200903045","049152009","04/16/2009","1555.62","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","1555.62","N",
"Drug Enforcement Adm","154-07-886","Court Of Federal Claims","","154-07-886","","200903046","048402009","04/14/2009","22036.80","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","22036.80","N",
