Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"Department of Veterans Affairs","2658","Contract Disputes","","GS-OOP-05-BSD-0361 CBCA 2658","","201205641","063412012","11/01/2012","518970.52","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","518970.52","Y",
"Indian Health Svc","CBCA 949-ISDA","Contract Disputes","","INTENTIONALLY BLANK","","201205873","060112012","10/10/2012","3000000.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","0.00","","","3000000.00","Y",
"General Services Administration","1346 & 1931","Contract Disputes","","1346 & 1931","","201303064","031292013","05/08/2013","18500.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","18500.00","Y",
"Department of Navy","","Contract Disputes","","FY09-009","","201305244","050902013","09/19/2013","119000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","119000.00","Y",
"Surface Transportation Board","01-8181L","Court Of Federal Claims","","NONE PROVIDED","","201205127","060722012","10/10/2012","138000.00","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","103645.55","42-USC-4654              ","Litigation Expenses In Inverse Condemnation Cases","0.00","","","95607.70","40-USC-3116              ","Interest as Part of Just Compensation","337253.25","N",
"Fed Bureau of Invest","90-162","Court Of Federal Claims","","15490162","","201205617","063502012","11/08/2012","150.66","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","150.66","N",
"Fed Bureau of Invest","90-162","Court Of Federal Claims","","15490162","","201205617","063512012","11/02/2012","0.00","","","50627.10","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","50627.10","N",
"Fed Bureau of Invest","90-162","Court Of Federal Claims","","15490162","","201205617","063522012","11/08/2012","2748.33","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","2748.33","N",
"DHS - TSA  Trans. SEC. Admin.","10-374C","Court Of Federal Claims","","154-10-374","","201205911","063772012","11/16/2012","7132528.23","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","7132528.23","N",
"Department of Energy","07-608C","Court Of Federal Claims","","15498484","","201205933","062582012","10/16/2012","20689752.03","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","20689752.03","N",
"Department of Energy","10-507C","Court Of Federal Claims","","154-04-74C & 154-10-507C","","201206008","063822012","11/19/2012","99999999.00","28-USC-1491 Implied Contr","Breach of Implied Contract","0.00","","","0.00","","","0.00","","","99999999.00","N",
"Department of Energy","10-507C","Court Of Federal Claims","","154-04-74C & 154-10-507C","","201206008","063832012","11/19/2012","99999999.00","28-USC-1491 Implied Contr","Breach of Implied Contract","0.00","","","0.00","","","0.00","","","99999999.00","N",
"Department of Energy","10-507C","Court Of Federal Claims","","154-04-74C & 154-10-507C","","201206008","063842012","11/19/2012","66104247.00","28-USC-1491 Implied Contr","Breach of Implied Contract","0.00","","","0.00","","","0.00","","","66104247.00","N",
"Department of Energy","154-04-0069","Court Of Federal Claims","","154-04-0069","","201206010","063812012","11/19/2012","9532593.92","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","9532593.92","N",
"Department of Energy","154-04-71","Court Of Federal Claims","","154-04-71","","201206011","062552012","10/16/2012","6405049.50","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","6405049.50","N",
"Department of Energy","04-0083; 12-401","Court Of Federal Claims","","154-04-0083; 154-12-401","","201206012","062562012","10/16/2012","20013579.65","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","20013579.65","N",
"Department of Energy","98-483","Court Of Federal Claims","","154-98-483","","201206013","062572012","10/17/2012","50997404.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","50997404.00","N",
"Department of Navy","09-239C","Court Of Federal Claims","","154-09-239","","201206082","061542012","10/12/2012","325126.49","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","325126.49","N",
"Department of Navy","09-239C","Court Of Federal Claims","","154-09-239","","201206082","061552012","10/09/2012","47464.59","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","47464.59","N",
"Department of Navy","09-239C","Court Of Federal Claims","","154-09-239","","201206082","061562012","10/09/2012","23999.17","5-USC-5596               ","Back Pay Act","0.00","","","0.00","","","0.00","","","23999.17","N",
"Department of Veterans Affairs","11-32C","Court Of Federal Claims","","154-11-32","","201206091","062202012","10/17/2012","83124.90","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","83124.90","N",
"Department of Veterans Affairs","11-32C","Court Of Federal Claims","","154-11-32","","201206091","062212012","10/18/2012","9195.00","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","9195.00","N",
"Department of Veterans Affairs","11-32C","Court Of Federal Claims","","154-11-32","","201206091","062222012","10/16/2012","2295.00","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","2295.00","N",
"Natural Resource C","09-727","Court Of Federal Claims","","154-09-727","","201300193","000982013","10/23/2012","385000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","385000.00","Y",
"Department of Veterans Affairs","10-60","Court Of Federal Claims","","154-10-60","","201300337","003202013","11/02/2012","4929882.00","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","1478964.60","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","112772.13","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","6521618.73","N",
"Department of Energy","04-68","Court Of Federal Claims","","154-04-68","","201300470","014202013","01/31/2013","13673549.72","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","13673549.72","N",
"Department of the Interior; Department of the Treasury","06-908","Court Of Federal Claims","","NONE PROVIDED; NONE PROVIDED","","201300638","008782013","12/12/2012","49200000.00","28-USC-1505 Other        ","Indian Tribe Other-cite basis for money award in comments","0.00","","","0.00","","","0.00","","","49200000.00","N",
"Department of Energy","04-102, -04-103, -04-104, -98-621","Court Of Federal Claims","","154-04-102","","201300718","008752013","12/20/2012","76941033.55","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","76941033.55","N",
"Department of Energy","12-400","Court Of Federal Claims","","154-12-400","","201300719","008742013","12/19/2012","81196301.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","81196301.00","N",
"Department of Veterans Affairs","02-101","Court Of Federal Claims","","154-02-101","","201300726","015242013","02/08/2013","73990712.00","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","73990712.00","N",
"Department of the Interior","07-1247","Court Of Federal Claims","","90-13-8-12309","","201300831","011642013","01/08/2013","0.00","","","192293.07","43-USC-1349              ","Outer Continental Shelf Lands Act","8492.98","43-USC-1349              ","Outer Continental Shelf Lands Act","0.00","","","200786.05","N",
"Surface Transportation Board","09-456L","Court Of Federal Claims","","90-1-23-12889","","201300849","011222013","01/08/2013","524152.97","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","380000.00","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","904152.97","N",
"Department of Energy","98-126, -154, -474","Court Of Federal Claims","","154-98-126, -154, -474","","201300930","013792013","01/25/2013","39667243.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","39667243.00","N",
"Department of Energy","98-126, -154, -474","Court Of Federal Claims","","154-98-126, -154, -474","","201300930","013802013","01/25/2013","38268654.55","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","38268654.55","N",
"Department of Energy","98-126, -154, -474","Court Of Federal Claims","","154-98-126, -154, -474","","201300930","013952013","01/30/2013","81690866.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","81690866.00","N",
"Department of Energy","04-106","Court Of Federal Claims","","154-04-106","","201300932","010652013","01/08/2013","37658902.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","37658902.00","N",
"Department of Energy","01-551","Court Of Federal Claims","","154-01-551","","201300933","010642013","01/08/2013","11579663.44","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","11579663.44","N",
"Surface Transportation Board","10-176 L","Court Of Federal Claims","","NONE PROVIDED","","201301030","010192013","12/21/2012","414716.14","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","245000.00","42-USC-4654              ","Litigation Expenses In Inverse Condemnation Cases","0.00","","","150881.00","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","810597.14","N",
"US Army Corps of Engineers","09-595","Court Of Federal Claims","","154-09-595","","201301273","012382013","01/17/2013","770000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","60236.70","41-USC-7101et seq        ","Contract Disputes Act","830236.70","Y",
"US Army Corps of Engineers","09-595","Court Of Federal Claims","","154-09-595","","201301273","013692013","01/24/2013","330000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","42969.17","41-USC-7101et seq        ","Contract Disputes Act","372969.17","Y",
"DHS - Immigration  & Customs Enforcement (ICE)","02-1282","Court Of Federal Claims","","154-02-1282","","201301281","015732013","02/12/2013","46856.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","11489.42","41-USC-7101et seq        ","Contract Disputes Act","58345.42","Y",
"DHS - Immigration  & Customs Enforcement (ICE)","02-1282","Court Of Federal Claims","","154-02-1282","","201301281","015742013","02/12/2013","0.00","","","0.00","","","0.00","","","1712.90","41-USC-7101et seq        ","Contract Disputes Act","1712.90","Y",
"DHS - Immigration  & Customs Enforcement (ICE)","02-1282","Court Of Federal Claims","","154-02-1282","","201301281","015752013","02/12/2013","0.00","","","0.00","","","0.00","","","3348.80","41-USC-7101et seq        ","Contract Disputes Act","3348.80","Y",
"DHS - Immigration  & Customs Enforcement (ICE)","02-1282","Court Of Federal Claims","","154-02-1282","","201301281","015762013","02/12/2013","0.00","","","0.00","","","0.00","","","3348.80","41-USC-7101et seq        ","Contract Disputes Act","3348.80","Y",
"DHS - Immigration  & Customs Enforcement (ICE)","02-1282","Court Of Federal Claims","","154-02-1282","","201301281","015772013","02/12/2013","0.00","","","0.00","","","0.00","","","6487.81","41-USC-7101et seq        ","Contract Disputes Act","6487.81","Y",
"Marshals Service","09-496","Court Of Federal Claims","","154-09-496","","201301286","020812013","03/06/2013","500000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","500000.00","Y",
"Department of the Army","11-172","Court Of Federal Claims","","154-11-172","","201301294","012332013","01/17/2013","733138.53","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","733138.53","Y",
"Department of Energy","04-68","Court Of Federal Claims","","154-04-68","","201301365","013592013","01/25/2013","2594996.74","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","2594996.74","N",
"Department of Energy","04-68","Court Of Federal Claims","","154-04-68","","201301368","013602013","01/25/2013","49707855.51","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","49707855.51","N",
"Surface Transportation Board","04-1514","Court Of Federal Claims","","90-1-23-11404","","201301649","015592013","02/12/2013","998700.01","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","228749.00","42-USC-4654              ","Litigation Expenses In Inverse Condemnation Cases","54481.00","42-USC-4654              ","Litigation Expenses In Inverse Condemnation Cases","260827.46","40-USC-3116              ","Interest as Part of Just Compensation","1542757.47","N",
"Department of Energy","04-99","Court Of Federal Claims","","154-04-99","","201301693","017062013","02/15/2013","5961957.49","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","5961957.49","N",
"Department of Energy","04-99","Court Of Federal Claims","","154-04-99","","201301693","017072013","02/15/2013","761100.96","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","761100.96","N",
"Department of Energy","04-99","Court Of Federal Claims","","154-04-99","","201301693","020842013","03/06/2013","5961957.49","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","5961957.49","N",
"Surface Transportation Board","No 07-273,07-426, 08-198, 10-187, 10-200","Court Of Federal Claims","","90-1-23-12218","","201301722","018442013","02/22/2013","6508445.00","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","6508445.00","N",
"Surface Transportation Board","No 07-273,07-426, 08-198, 10-187, 10-200","Court Of Federal Claims","","90-1-23-12218","","201301722","018452013","02/22/2013","82383.00","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","82383.00","N",
"Department of Veterans Affairs","11-17","Court Of Federal Claims","","154-11-17","","201301753","017902013","02/26/2013","225000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","225000.00","Y",
"Department of Energy","04-100","Court Of Federal Claims","","154-04-100","","201302026","020162013","03/06/2013","98141.55","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","98141.55","N",
"Bur of Indian Affair","154-10-503","Court Of Federal Claims","","154-10-503","","201302027","020992013","03/12/2013","412500.00","28-USC-1491 Indian Claim ","Indiviual Indian Claim-cite basis for award in comments","0.00","","","0.00","","","0.00","","","412500.00","N",
"Bur of Indian Affair","154-10-503","Court Of Federal Claims","","154-10-503","","201302027","026552013","04/17/2013","587500.00","28-USC-1491 Indian Claim ","Indiviual Indian Claim-cite basis for award in comments","0.00","","","0.00","","","0.00","","","587500.00","N",
"Department of Veterans Affairs","11-748","Court Of Federal Claims","","154-11-748","","201302033","019312013","03/06/2013","59000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","59000.00","Y",
"Department of the Air Force","04-1141","Court Of Federal Claims","","154-04-1141","","201302091","019402013","03/06/2013","451685.27","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","451685.27","Y",
"Department of Energy","98-126; 98-154, 98-474","Court Of Federal Claims","","154-98-126; -98-154; -98-474","","201302147","022152013","03/15/2013","60271.88","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","60271.88","N",
"Department of Energy","98-126; 98-154, 98-474","Court Of Federal Claims","","154-98-126; -98-154; -98-474","","201302147","022162013","03/15/2013","61131.89","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","61131.89","N",
"Department of Energy","98-126; 98-154, 98-474","Court Of Federal Claims","","154-98-126; -98-154; -98-474","","201302147","022172013","03/15/2013","60351.89","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","60351.89","N",
"DHS - Immigration  & Customs Enforcement (ICE)","12-817","Court Of Federal Claims","","154-12-817","","201302177","022262013","03/20/2013","45542.81","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","45542.81","N",
"DHS - Immigration  & Customs Enforcement (ICE)","12-817","Court Of Federal Claims","","154-12-817","","201302177","022272013","03/14/2013","9760.25","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","9760.25","N",
"DHS - Immigration  & Customs Enforcement (ICE)","12-817","Court Of Federal Claims","","154-12-817","","201302177","022282013","03/14/2013","2286.86","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","2286.86","N",
"DHS - Immigration  & Customs Enforcement (ICE)","154-11-752","Court Of Federal Claims","","154-11-752","","201302179","036062013","05/22/2013","259101.45","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","259101.45","N",
"DHS - Immigration  & Customs Enforcement (ICE)","154-11-752","Court Of Federal Claims","","154-11-752","","201302179","036072013","05/21/2013","55527.81","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","55527.81","N",
"DHS - Immigration  & Customs Enforcement (ICE)","154-11-752","Court Of Federal Claims","","154-11-752","","201302179","036082013","05/21/2013","13010.34","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","13010.34","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027182013","04/09/2013","29889628.77","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","29889628.77","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027192013","04/09/2013","12187.48","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","12187.48","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027202013","04/09/2013","143016.16","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","143016.16","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027212013","04/09/2013","14143.24","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","14143.24","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027222013","04/09/2013","86706.20","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","86706.20","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027232013","04/09/2013","2428.93","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","2428.93","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027242013","04/09/2013","36150.30","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","36150.30","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027252013","04/09/2013","108856.75","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","108856.75","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027262013","04/09/2013","65489.63","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","65489.63","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027272013","04/09/2013","48709.23","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","48709.23","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027282013","04/09/2013","91226.15","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","91226.15","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027292013","04/09/2013","209556.82","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","209556.82","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027302013","04/09/2013","264544.09","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","264544.09","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027312013","04/09/2013","994231.13","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","994231.13","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027322013","04/09/2013","121388.68","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","121388.68","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027332013","04/09/2013","202314.47","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","202314.47","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027342013","04/09/2013","7669.34","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","7669.34","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027352013","04/09/2013","60146.30","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","60146.30","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027362013","04/09/2013","22171.24","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","22171.24","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027372013","04/09/2013","26855.80","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","26855.80","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027382013","04/09/2013","12061.99","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","12061.99","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027392013","04/09/2013","167144.13","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","167144.13","N",
"Surface Transportation Board","1:10-cv-193","Court Of Federal Claims","","90-1-23-13081","","201302303","027402013","04/09/2013","57908.82","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","57908.82","N",
