Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"General Services Administration","","Contract Disputes","","388","","200800027","03310581 ","10/05/2007","26500000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","26500000.00","Y",
"Department of Navy","","Contract Disputes","","ASBCA55369","","200800607","03326501 ","12/18/2007","40000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","40000.00","Y",
"Department of Veterans Affairs","032154C","Contract Disputes","","154032154","","200800660","03328381 ","12/03/2007","17673850.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","437125.02","41-USC-601et seq         ","Contract Disputes Act","18110975.02","Y",
"Department of Navy","","Contract Disputes","","","","200800789","03331631 ","12/14/2007","154382.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","154382.00","Y",
"General Services Administration","","Contract Disputes","","453","","200800804","03332191 ","01/18/2008","200000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","200000.00","Y",
"Department of the Army","","Contract Disputes","","ASBCA55644","","200800814","03332431 ","02/12/2008","20502.56","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","2271.69","41-USC-601et seq         ","Contract Disputes Act","22774.25","Y",
"Department of the Army","98712","Contract Disputes","","15498712","","200800863","03333521 ","12/17/2007","17793.56","41-USC-601et seq         ","Contract Disputes Act","0.00","","","1892.72","28-USC-2412(a)           ","Costs Per 28 USC 1920","10270.05","41-USC-601et seq         ","Contract Disputes Act","29956.33","N",
"US Army Corps of Engineers","NO 06-689C","Contract Disputes","","154-06-689","","200801049","03338211 ","01/10/2008","60000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","60000.00","N",
"General Services Administration","","Contract Disputes","","CBCA396","","200801156","03341441 ","01/22/2008","160000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","29636.16","41-USC-601et seq         ","Contract Disputes Act","189636.16","Y",
"General Services Administration","NO 03-2824C","Contract Disputes","","154-03-2824","","200801165","03341581 ","01/31/2008","40000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","8682.10","41-USC-601et seq         ","Contract Disputes Act","48682.10","Y",
"Department of the Air Force","","Contract Disputes","","","","200801206","03342891 ","03/18/2008","387067.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","308758.50","41-USC-601et seq         ","Contract Disputes Act","695825.50","Y",
"US Army Corps of Engineers","","Contract Disputes","","8084388575","","200801214","03342941 ","01/29/2008","40000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","40000.00","Y",
"Indian Health Svc","","Contract Disputes","","06112564","","200801386","03347681 ","02/13/2008","25000000.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","16231004.69","41-USC-601et seq         ","Contract Disputes Act","41231004.69","Y",
"US Army Corps of Engineers","NO 05-751C","Contract Disputes","","154-05-751","","200801392","03347861 ","02/07/2008","63750.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","63750.00","Y",
"Natl Ag Stat Service","56154","Contract Disputes","","N62472-93-C-1144","N62472-93-C-1144","200801488","03350091 ","02/29/2008","750000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","205846.10","41-USC-601et seq         ","Contract Disputes Act","955846.10","Y",
"US Army Corps of Engineers","","Contract Disputes","","W912DY04D0010","","200801518","03350761 ","02/19/2008","1208772.50","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","59712.52","41-USC-601et seq         ","Contract Disputes Act","1268485.02","Y",
"Department of Navy","06113c","Contract Disputes","","15406113","","200801828","03358571 ","02/29/2008","200000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","1375.68","41-USC-601et seq         ","Contract Disputes Act","201375.68","Y",
"General Services Administration","cbca 386","Contract Disputes","","CBCA 398","","200802010","03362581 ","03/07/2008","200000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","46109.40","41-USC-601et seq         ","Contract Disputes Act","246109.40","Y",
"US Army Corps of Engineers","CIV01351C","Contract Disputes","","15401351","","200802377","03371171 ","03/20/2008","275000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","275000.00","Y",
"Department of the Army","","Contract Disputes","","NOT PROVIDED","NOT PROVIDED","200803037","003782008","05/28/2008","245392.19","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","387670.58","Y",
"US Army Corps of Engineers","04-CV-299","Contract Disputes","","NOT PROVIDED","","200803101","005362008","05/21/2008","1128127.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","255854.07","41-USC-601et seq         ","Contract Disputes Act","1383981.55","Y",
"US Army Corps of Engineers","04-CV-299","Contract Disputes","","NOT PROVIDED","","200803101","005372008","05/21/2008","501012.49","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","129910.20","41-USC-601et seq         ","Contract Disputes Act","630922.69","Y",
"Department of Veterans Affairs","CBCA 18","Contract Disputes","","NOT PROVIDED","NOT PROVIDED","200803469","011242008","06/24/2008","24000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","224.26","41-USC-601et seq         ","Contract Disputes Act","24224.26","Y",
"Forest Service","AGBCA 97-139-1","Contract Disputes","","075902","075902","200803489","009992008","06/13/2008","235000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","59797.38","41-USC-601et seq         ","Contract Disputes Act","294797.38","Y",
"Department of Veterans Affairs","CBCA 19, 864","Contract Disputes","","not provided","not provided","200803782","011552008","06/27/2008","410000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","1489.89","41-USC-601et seq         ","Contract Disputes Act","411489.89","Y",
"US Army Corps of Engineers","ASBCA No56254","Contract Disputes","","not provided","","200803858","012652008","07/03/2008","625000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","625000.00","Y",
"Department of the Air Force","","Contract Disputes","","F25606-92-D-0004","","200803859","017732008","07/25/2008","885000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","885000.00","Y",
"General Services Administration","UPN-E-BF701-4U","Contract Disputes","","CBCA 484","CBCA 484","200804133","015402008","07/16/2008","22500.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","22500.00","Y",
"Department of Veterans Affairs","","Contract Disputes","","NOT PROVIDED","","200804192","016002008","07/17/2008","70400.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","70400.00","Y",
"Forest Service","CBCA","Contract Disputes","","CBCA95","","200804504","025332008","09/09/2008","410000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","112337.22","41-USC-601et seq         ","Contract Disputes Act","522337.22","Y",
"US Army Corps of Engineers","","Contract Disputes","","HECSA","HECSA","200804505","019622008","08/06/2008","377830.50","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","377830.50","Y",
"Department of Navy","A93-00889-DMD","Contract Disputes","","not provided","","200804635","021362008","08/15/2008","56726.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","26950.94","41-USC-601et seq         ","Contract Disputes Act","83676.94","Y",
"Department of Navy","A93-00889-DMD","Contract Disputes","","not provided","","200804635","021372008","08/15/2008","17000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","2491.92","41-USC-601et seq         ","Contract Disputes Act","19491.92","Y",
"Department of Navy","A93-00889-DMD","Contract Disputes","","not provided","","200804635","021382008","08/15/2008","12344.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","5864.72","41-USC-601et seq         ","Contract Disputes Act","18208.72","Y",
"Department of Navy","A93-00889-DMD","Contract Disputes","","not provided","","200804635","021392008","08/15/2008","46794.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","22223.85","41-USC-601et seq         ","Contract Disputes Act","69017.85","Y",
"Department of Navy","A93-00889-DMD","Contract Disputes","","not provided","","200804635","021402008","08/15/2008","66810.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","31730.01","41-USC-601et seq         ","Contract Disputes Act","98540.01","Y",
"Department of Navy","A93-00889-DMD","Contract Disputes","","not provided","","200804635","021412008","08/15/2008","2243.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","1065.67","41-USC-601et seq         ","Contract Disputes Act","3308.67","Y",
"Department of Navy","A93-00889-DMD","Contract Disputes","","not provided","","200804635","021422008","08/15/2008","6050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","2876.58","41-USC-601et seq         ","Contract Disputes Act","8926.58","Y",
"Department of Navy","A93-00889-DMD","Contract Disputes","","not provided","","200804635","021432008","08/15/2008","4200.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","1996.94","41-USC-601et seq         ","Contract Disputes Act","6196.94","Y",
"Department of Navy","A93-00889-DMD","Contract Disputes","","not provided","","200804635","021442008","08/15/2008","7284.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","2163.86","41-USC-601et seq         ","Contract Disputes Act","9447.86","Y",
"Department of Navy","A93-00889-DMD","Contract Disputes","","not provided","","200804635","021452008","08/15/2008","42000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","19969.43","41-USC-601et seq         ","Contract Disputes Act","61969.43","Y",
"Department of Navy","A93-00889-DMD","Contract Disputes","","not provided","","200804635","021462008","08/15/2008","48185.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","22901.61","41-USC-601et seq         ","Contract Disputes Act","71086.61","Y",
"Department of Navy","A93-00889-DMD","Contract Disputes","","not provided","","200804635","021472008","08/15/2008","63034.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","29947.87","41-USC-601et seq         ","Contract Disputes Act","92981.87","Y",
"Department of Navy","A93-00889-DMD","Contract Disputes","","not provided","","200804635","021482008","08/15/2008","29994.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","14277.04","41-USC-601et seq         ","Contract Disputes Act","44271.04","Y",
"Department of Navy","N62477-00-D-0043","Contract Disputes","","N/A","","200804795","022332008","08/21/2008","350000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","350000.00","Y",
"US Army Corps of Engineers","DACA21-03-C-0012","Contract Disputes","","N/A","","200805292","027132008","09/19/2008","186344.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","186344.00","Y",
"Environmental Protection Agency","90162C","Court Of Federal Claims","","15490162","","200706901","03306091 ","10/04/2007","20930.29","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Environmental Protection Agency","90162C","Court Of Federal Claims","","15490162","","200706901","03306151 ","10/04/2007","9041.02","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","9041.02","N",
"Environmental Protection Agency","90162C","Court Of Federal Claims","","15490162","","200706901","03306152 ","10/04/2007","2118.33","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","2118.33","N",
"Fish & Wildlife Svc","90162C","Court Of Federal Claims","","15490162","","200706902","03306161 ","10/03/2007","41829.85","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Fish & Wildlife Svc","90162C","Court Of Federal Claims","","15490162","","200706902","03306181 ","10/04/2007","4228.43","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","4228.43","N",
"Fish & Wildlife Svc","90162C","Court Of Federal Claims","","15490162","","200706902","03306182 ","10/04/2007","18046.85","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","18046.85","N",
"Internal Revenue Service/S&E","90162c","Court Of Federal Claims","","15490162","","200707010","03308881 ","10/10/2007","8225.88","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","8225.88","N",
"Internal Revenue Service/S&E","90162c","Court Of Federal Claims","","15490162","","200707010","03308901 ","10/09/2007","3548.84","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","3548.84","N",
"Internal Revenue Service/S&E","90162c","Court Of Federal Claims","","15490162","","200707010","03308902 ","10/09/2007","831.53","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","831.53","N",
"Department of Navy","90162c","Court Of Federal Claims","","15490162","","200707016","03309311 ","10/10/2007","55604.77","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","55604.77","N",
"Department of Navy","90162c","Court Of Federal Claims","","15490162","","200707016","03309331 ","10/09/2007","23989.84","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","23989.84","N",
"Department of Navy","90162c","Court Of Federal Claims","","15490162","","200707016","03309332 ","10/09/2007","5620.88","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","5620.88","N",
"Department of the Army","031812C","Court Of Federal Claims","","154031812","","200800187","03314601 ","11/21/2007","25000.00","29-USC-206(d) CT of F Cl ","Equal Pay Act/FLSA","0.00","","","0.00","","","0.00","","","25000.00","N",
"Department of the Army","041780","Court Of Federal Claims","","154041780","","200800312","03317881 ","10/29/2007","0.00","","","8055.00","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","8055.00","N",
"Customs and Border Protection","90162C","Court Of Federal Claims","","15490162","","200800414","03320401 ","11/19/2007","1591.46","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","1591.46","N",
"Customs and Border Protection","90162C","Court Of Federal Claims","","15490162","","200800414","03320402 ","11/19/2007","25692.01","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Customs and Border Protection","90162C","Court Of Federal Claims","","15490162","","200800414","03320431 ","11/19/2007","148916.85","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Drug Enforcement Adm","90162C","Court Of Federal Claims","","15490162","","200800431","03320871 ","11/19/2007","378263.04","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","378263.04","N",
"Drug Enforcement Adm","90162C","Court Of Federal Claims","","15490162","","200800431","03320881 ","11/19/2007","6984.50","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Drug Enforcement Adm","90162C","Court Of Federal Claims","","15490162","","200800431","03320882 ","11/19/2007","65902.22","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Internal Revenue Service/S&E","90162C","Court Of Federal Claims","","15490162","","200800432","03321291 ","11/19/2007","53078.83","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Internal Revenue Service/S&E","90162C","Court Of Federal Claims","","15490162","","200800432","03321292 ","11/19/2007","9890.67","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Internal Revenue Service/S&E","90162C","Court Of Federal Claims","","15490162","","200800432","03321311 ","11/19/2007","260161.89","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","260161.89","N",
"Alcohol Tobacco Fire","90162C","Court Of Federal Claims","","15490162","","200800438","03321721 ","11/19/2007","163719.92","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","163719.92","N",
"Alcohol Tobacco Fire","90162C","Court Of Federal Claims","","15490162","","200800438","03321741 ","11/19/2007","32408.23","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Alcohol Tobacco Fire","90162C","Court Of Federal Claims","","15490162","","200800438","03321742 ","11/19/2007","4619.81","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Secret Service at Homeland Security","90162C","Court Of Federal Claims","","15490162","","200800444","03322251 ","11/19/2007","128086.78","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","128086.78","N",
"Secret Service at Homeland Security","90162C","Court Of Federal Claims","","15490162","","200800444","03322261 ","11/19/2007","21875.29","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Secret Service at Homeland Security","90162C","Court Of Federal Claims","","15490162","","200800444","03322262 ","11/19/2007","1199.22","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Customs and Border Protection","0156C","Court Of Federal Claims","","1540156","","200800458","03322841 ","11/19/2007","10996.51","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","10996.51","N",
"Customs and Border Protection","0156C","Court Of Federal Claims","","1540156","","200800458","03322842 ","11/19/2007","46932.76","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Customs and Border Protection","0156C","Court Of Federal Claims","","1540156","","200800458","03322861 ","11/19/2007","240557.18","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Customs and Border Protection; Homeland Security","96-480C & 96-4801C","Court Of Federal Claims","","15496480; 15496480","","200800603","03326411 ","11/30/2007","0.00","","","4895.00","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","4895.00","N",
"Internal Revenue Service/S&E","90162C","Court Of Federal Claims","","15490162","","200800608","03326561 ","12/04/2007","45673.23","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","45673.23","N",
"Internal Revenue Service/S&E","15490162","Court Of Federal Claims","","15490162","","200800614","03326881 ","11/29/2007","27309.74","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Internal Revenue Service/S&E","15490162","Court Of Federal Claims","","15490162","","200800614","03326882 ","11/29/2007","4018.30","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Internal Revenue Service/S&E","15490162","Court Of Federal Claims","","15490162","","200800614","03326891 ","12/04/2007","142290.97","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","142290.97","N",
"Drug Enforcement Adm","90162C","Court Of Federal Claims","","15490162","","200800615","03326991 ","11/29/2007","4076.66","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","4076.66","N",
"Drug Enforcement Adm","90162C","Court Of Federal Claims","","15490162","","200800615","03326992 ","11/29/2007","33408.87","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","33408.87","N",
"Drug Enforcement Adm","90162C","Court Of Federal Claims","","15490162","","200800615","03327001 ","12/04/2007","172914.26","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Alcohol Tobacco Fire","90162c","Court Of Federal Claims","","15490162","","200800616","03328061 ","12/04/2007","5383.87","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","5383.87","N",
"Alcohol Tobacco Fire","90162c","Court Of Federal Claims","","15490162","","200800616","03328062 ","12/04/2007","44561.39","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","44561.39","N",
"Alcohol Tobacco Fire","90162c","Court Of Federal Claims","","15490162","","200800616","03328071 ","12/05/2007","240683.55","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Customs and Border Protection","90162c","Court Of Federal Claims","","15490162","","200800656","03328181 ","11/29/2007","2246.27","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","2246.27","N",
"Customs and Border Protection","90162c","Court Of Federal Claims","","15490162","","200800656","03328182 ","11/29/2007","40974.99","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Customs and Border Protection","90162c","Court Of Federal Claims","","15490162","","200800656","03328191 ","12/04/2007","241015.97","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
"Department of Energy","15498621C","Court Of Federal Claims","","15498621C","","200800843","03333091 ","12/21/2007","51190623.06","28USC1491                ","TuckerAct-ClaimsCt","0.00","","","0.00","","","0.00","","","51190623.06","N",
"Drug Enforcement Adm","90162c","Court Of Federal Claims","","15490162","","200800867","03333721 ","12/18/2007","505545.66","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","505545.66","N",
"Drug Enforcement Adm","90162c","Court Of Federal Claims","","15490162","","200800867","03333731 ","12/14/2007","78616.10","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","78616.10","N",
"Drug Enforcement Adm","90162c","Court Of Federal Claims","","15490162","","200800867","03333732 ","12/13/2007","4309.77","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","4309.77","N",
"Department of Navy","1:07-cv-08-MBH","Court Of Federal Claims","","154078","","200801068","03338661 ","01/31/2008","115185.77","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","352.98","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","115538.75","N",
"Department of the Interior","CIV051023","Court Of Federal Claims","","90220111745","","200801299","03345141 ","03/13/2008","50000.00","28-USC-1505 Other        ","Indian Tribe Other-cite basis for money award in comments","0.00","","","0.00","","","0.00","","","50000.00","N",
"Drug Enforcement Adm","01518C","Court Of Federal Claims","","15490162","","200801532","03351091 ","02/18/2008","26309.26","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","26309.26","N",
"Drug Enforcement Adm","01518C","Court Of Federal Claims","","15490162","","200801532","03351092 ","02/19/2008","1442.28","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","1442.28","N",
"Drug Enforcement Adm","01518C","Court Of Federal Claims","","15490162","","200801532","03351101 ","02/21/2008","193746.30","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","","N",
