Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"Small Business Administration","","Contract Disputes","","1540295","","200600659","02970361 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600660","02970421 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600661","02970451 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600662","02970471 ","12/07/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600663","02970501 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600664","02970551 ","12/07/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600665","02970561 ","12/05/2005","1223.40","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1223.40","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600666","02970641 ","12/07/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600667","02970681 ","12/06/2005","1529.25","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1529.25","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600668","02970711 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600669","02970731 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600670","02970751 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600671","02970791 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600672","02970831 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600673","02970841 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600674","02970861 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600675","02970881 ","12/07/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600676","02970891 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600677","02970921 ","12/02/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600678","02970941 ","12/02/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600679","02970961 ","12/02/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600680","02970982 ","02/24/2006","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600681","02971011 ","12/07/2005","1223.40","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1223.40","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600682","02971031 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600683","02971051 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600684","02971071 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600685","02971091 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600686","02971121 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600687","02969801 ","12/05/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600688","02969881 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600689","02969911 ","12/05/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600690","02969921 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600691","02969941 ","12/07/2005","1529.63","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1529.63","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600692","02969981 ","12/07/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600693","02970001 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600694","02970041 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600695","02970071 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600696","02970101 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600697","02970611 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600698","02970631 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600699","02970651 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600700","02970701 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600701","02970741 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600702","02970781 ","12/07/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600703","02970811 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600704","02970911 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600705","02970952 ","04/13/2006","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","0.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600706","02971001 ","12/06/2005","1223.40","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1223.40","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600707","02971101 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600709","02971151 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600710","02971161 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600711","02971171 ","12/23/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600712","02971182 ","02/13/2006","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600712","02971183 ","03/03/2006","1050.00","28-USC-2672 Miscellany   ","Federal Tort Claims Act/Admin/Miscellany","0.00","","","0.00","","","0.00","","","","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600713","02971191 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600714","02971201 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600715","02971211 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600716","02971221 ","12/06/2005","1223.40","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1223.40","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600717","02971481 ","12/05/2005","1223.40","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1223.40","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600718","02971501 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600719","02971521 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600720","02971551 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600721","02971571 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600722","02971621 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600723","02971661 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600724","02971681 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600725","02971721 ","12/05/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600726","02971751 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600727","02971881 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600728","02971911 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600729","02971921 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600730","02971961 ","12/05/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600731","02972021 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600732","02972051 ","12/07/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600733","02972081 ","12/05/2005","1223.40","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1223.40","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600734","02972141 ","12/07/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600735","02972171 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600736","02972232 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600737","02969831 ","12/05/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600738","02969891 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600739","02970091 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600740","02970131 ","12/05/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600741","02970281 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600742","02970311 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600743","02970341 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600744","02970401 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600745","02970441 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600746","02970461 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600747","02970481 ","12/05/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600748","02970521 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600749","02970531 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600750","02970571 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600751","02970591 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600752","02971431 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600753","02971441 ","12/05/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600754","02971451 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600755","02971461 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600756","02971471 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600757","02971491 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600758","02971511 ","12/06/2005","1500.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1500.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600759","02971531 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600760","02971541 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600761","02971561 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600762","02971591 ","01/06/2006","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600763","02971601 ","12/06/2005","1529.25","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1529.25","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600764","02971631 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600765","02971651 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600766","02971761 ","12/06/2005","1050.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1050.00","Y",
"Small Business Administration","","Contract Disputes","","1540295","","200600767","02971781 ","12/06/2005","1070.48","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1070.48","Y",
