Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"Department of the Air Force","","Board of Contract Appeals","","59325","","201501250","015292015","01/26/2015","640000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","640000.00","Y",
"Indian Health Svc","4125","Board of Contract Appeals","","NONE PROVIDED","NONE PROVIDED","201501319","014232015","01/16/2015","635988.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","26498.75","41-USC-7101et seq        ","Contract Disputes Act","662486.75","Y",
"Indian Health Svc","CBCA 1256, 1263 AND 2963","Board of Contract Appeals","","NONE PROVIDED","","201501320","012402015","12/26/2014","3026689.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","1023274.82","41-USC-7101et seq        ","Contract Disputes Act","4049963.82","Y",
"Indian Health Svc","197-ISDA, 321-ISDA, 328-ISDA & 2997 TO 3000-ISDA","Board of Contract Appeals","","NONE PROVIDED","","201501397","015222015","01/23/2015","12480000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","4259120.43","41-USC-7101et seq        ","Contract Disputes Act","16739120.43","Y",
"Department of Energy","","Board of Contract Appeals","","DE-AC04-76-DP03533","DE-AC04-76-DP03533","201501422","016942015","01/28/2015","4500000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","4500000.00","Y",
"Indian Health Svc","4276-ISDA, 4281-ISDA","Board of Contract Appeals","","NONE PROVIDED","","201501439","014622015","01/22/2015","2291009.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","97156.51","41-USC-7101et seq        ","Contract Disputes Act","2388165.51","Y",
"Indian Health Svc","","Board of Contract Appeals","","235-2005-00005-C et al","235-2005-00005-C et al","201501440","014162015","01/15/2015","2500000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","2500000.00","Y",
"Indian Health Svc","","Board of Contract Appeals","","58G950025","","201501454","013822015","01/09/2015","961972.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","273369.69","41-USC-7101et seq        ","Contract Disputes Act","1235341.69","Y",
"Indian Health Svc","","Board of Contract Appeals","","235-04-0002&235-2007-00002C","235-04-0002&235-2007-00002C","201501498","013722015","01/12/2015","65700.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","2680.74","41-USC-7101et seq        ","Contract Disputes Act","68380.74","Y",
"Indian Health Svc","4282 ISDA, 4283ISDA,4284ISDA,4285ISDA","Board of Contract Appeals","","66G040085","66G040085","201501507","022322015","02/13/2015","455000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","10044.29","41-USC-7101et seq        ","Contract Disputes Act","465044.29","Y",
"Indian Health Svc","4262-ISDA","Board of Contract Appeals","","NONE","","201501508","021452015","02/10/2015","219012.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","9479.99","25-USC-450m-1            ","Indian Self Determination Contracts_","228491.99","Y",
"Indian Health Svc","","Board of Contract Appeals","","67G970045","","201501614","016722015","01/28/2015","233070.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","9679.04","41-USC-7101et seq        ","Contract Disputes Act","242749.04","Y",
"Indian Health Svc","","Board of Contract Appeals","","235-04-0002&235-2007-00002C","235-04-0002&235-2007-00002C","201501957","021652015","02/11/2015","42.08","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","42.08","Y",
"Indian Health Svc","","Board of Contract Appeals","","58G950025","","201501962","021662015","02/11/2015","448.04","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","448.04","Y",
"Indian Health Svc","197-ISDA, 321-ISDA, 328-ISDA & 2997 TO 3000-ISDA","Board of Contract Appeals","","NONE PROVIDED","","201502002","021862015","07/06/2015","7992.33","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","7992.33","Y",
"Indian Health Svc","","Board of Contract Appeals","","60G950038","","201502087","024332015","02/23/2015","1200000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","52907.87","41-USC-7101et seq        ","Contract Disputes Act","1252907.87","Y",
"Indian Health Svc","","Board of Contract Appeals","","235-2004-00019c;235-2007-00011c;","","201502193","025652015","02/25/2015","13295315.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","590336.03","41-USC-7101et seq        ","Contract Disputes Act","13885651.03","Y",
"Indian Health Svc","4087-ISDA","Board of Contract Appeals","","239-01-0002","239-01-0002","201502244","026932015","03/02/2015","113000.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","3232.11","41-USC-7101et seq        ","Contract Disputes Act","116232.11","Y",
"Indian Health Svc","4381 ISDA THROUGH 4391 ISDA","Board of Contract Appeals","","59G950018","59G950018","201502312","028072015","03/04/2015","6691100.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","1559175.15","41-USC-7101et seq        ","Contract Disputes Act","8250275.15","Y",
"Indian Health Svc","","Board of Contract Appeals","","235-2005-00011-C;235-08-0001","","201502318","025842015","02/26/2015","776273.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","34505.04","41-USC-7101et seq        ","Contract Disputes Act","810778.04","Y",
"Indian Health Svc","","Board of Contract Appeals","","62G950040","","201502326","029502015","03/05/2015","1350000.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","88004.31","41-USC-7101et seq        ","Contract Disputes Act","1438004.31","Y",
"Indian Health Svc","","Board of Contract Appeals","","235-2005-00022C;235-08-0009","","201502329","029512015","03/05/2015","1735629.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","77083.12","41-USC-7101et seq        ","Contract Disputes Act","1812712.12","Y",
"Indian Health Svc","","Board of Contract Appeals","","HHSI2470810010C","","201502333","029492015","03/05/2015","1000000.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","40491.44","41-USC-7101et seq        ","Contract Disputes Act","1040491.44","Y",
"Indian Health Svc","4352-ISDA","Board of Contract Appeals","","58G950028","58G950028","201502365","028362015","03/04/2015","2969425.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","193510.97","41-USC-7101et seq        ","Contract Disputes Act","3162935.97","Y",
"Indian Health Svc","","Board of Contract Appeals","","58G970041","58G970041","201502614","032622015","03/17/2015","3517775.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","159026.19","41-USC-7101et seq        ","Contract Disputes Act","3676801.19","Y",
"Indian Health Svc","CBCA Nos 4462-ISDA through 4464-ISDA","Board of Contract Appeals","","HHSI247200700002C","HHSI247200700002C","201502658","031522015","03/13/2015","220000.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","9975.62","25-USC-450m-1            ","Indian Self Determination Contracts_","229975.62","Y",
"Indian Health Svc","07-cv-0289-MV-SMV","Board of Contract Appeals","","None Provided","","201502738","037372015","04/10/2015","1300000.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","0.00","","","1300000.00","N",
"Department of Navy","","Board of Contract Appeals","","N4523A-05-C-0001","","201502741","032772015","03/19/2015","1125000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1125000.00","Y",
"Indian Health Svc","","Board of Contract Appeals","","242-2010-10014c","242-2010-10014c","201502746","033392015","03/23/2015","1700000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1700000.00","Y",
"Bur of Indian Affair","3493-ISDA and 3494-ISDA","Board of Contract Appeals","","CBCA 3493-ISDA & 3494-ISDA","","201502753","033052015","05/14/2015","100119.00","41-USC-7101et seq        ","Contract Disputes Act","21875.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","121994.00","Y",
"Department of Navy","","Board of Contract Appeals","","ASBCA 58580, 58691","ASBCA 58580, 58691","201502777","034312015","03/27/2015","185000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","185000.00","Y",
"Indian Health Svc","CBCA Nos 4263-ISDA & 4486-ISDA through 4492-ISDA","Board of Contract Appeals","","Not provided","Not provided","201502841","034602015","03/27/2015","2028234.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","92891.22","41-USC-7101et seq        ","Contract Disputes Act","2121125.22","Y",
"Indian Health Svc","4546-ISDA through 4551-ISDA","Board of Contract Appeals","","58G950026","58G950026","201502845","033012015","03/19/2015","7218.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","330.93","41-USC-7101et seq        ","Contract Disputes Act","7548.93","Y",
"Indian Health Svc","4493-ISDA through 4497-ISDA","Board of Contract Appeals","","Not provided","Not provided","201502865","042352015","05/04/2015","844000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","40435.69","41-USC-7101et seq        ","Contract Disputes Act","884435.69","Y",
"Indian Health Svc","","Board of Contract Appeals","","Intentionally left blank","","201502911","040272015","04/27/2015","3400000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","1144490.01","41-USC-7101et seq        ","Contract Disputes Act","4544490.01","Y",
"Department of the Air Force","","Board of Contract Appeals","","ASBCA58855","","201502942","034102015","04/15/2015","1282448.94","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","44973.56","41-USC-7101et seq        ","Contract Disputes Act","1327422.50","Y",
"Indian Health Svc","829-ISDA to 837-ISDA & 4481-ISDA to 4485-ISDA","Board of Contract Appeals","","67G950034","67G950034","201502945","034192015","03/26/2015","1676974.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","485245.62","41-USC-7101et seq        ","Contract Disputes Act","2162219.62","Y",
"Indian Health Svc","197-ISDA, 321-ISDA, 328-ISDA & 2997 TO 3000-ISDA","Board of Contract Appeals","","NONE PROVIDED","","201502955","033952015","03/26/2015","8676.17","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","8676.17","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","CBCA 4332","","201502957","042222015","05/04/2015","23860.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","891.48","41-USC-7101et seq        ","Contract Disputes Act","24751.48","Y",
"Indian Health Svc","","Board of Contract Appeals","","Contract # 248-96-0001","","201502970","034112015","04/15/2015","1400000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","93613.05","41-USC-7101et seq        ","Contract Disputes Act","1493613.05","Y",
"Indian Health Svc","","Board of Contract Appeals","","HHS123920060014/HHS123920070014C","","201502995","036012015","04/01/2015","98034.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","4534.51","41-USC-7101et seq        ","Contract Disputes Act","102568.51","Y",
"Department of Veterans Affairs","3899, 4332","Board of Contract Appeals","","CBCA3899","","201503008","041122015","05/01/2015","29353.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","1108.87","41-USC-7101et seq        ","Contract Disputes Act","30461.87","Y",
"Indian Health Svc","","Board of Contract Appeals","","Intentionally left blank","","201503011","043092015","05/06/2015","1350000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","65323.42","41-USC-7101et seq        ","Contract Disputes Act","1415323.42","Y",
"Indian Health Svc","","Board of Contract Appeals","","235-2004-00028-C;235-08-0010","","201503028","035632015","04/01/2015","777000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","35923.51","41-USC-7101et seq        ","Contract Disputes Act","812923.51","Y",
"Indian Health Svc","4180-ISDA to 4185-ISDA","Board of Contract Appeals","","Not provided","","201503177","037312015","04/10/2015","447923.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","21459.70","41-USC-7101et seq        ","Contract Disputes Act","469382.70","Y",
"Indian Health Svc","","Board of Contract Appeals","","58G980055","","201503206","037722015","04/13/2015","3000000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","207893.89","41-USC-7101et seq        ","Contract Disputes Act","3207893.89","Y",
"Indian Health Svc","CBCA 4461 ISDA","Board of Contract Appeals","","64G050086","64G050086","201503297","041082015","05/01/2015","3000000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","143622.45","41-USC-7101et seq        ","Contract Disputes Act","3143622.45","Y",
"US Army Corps of Engineers","59488","Board of Contract Appeals","","W9128A-12-C-0026","","201503434","039402015","04/20/2015","525000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","525000.00","Y",
"Natl Inst of Health","","Board of Contract Appeals","","2947","2947","201503576","040302015","04/27/2015","86622.40","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","86622.40","Y",
"Indian Health Svc","","Board of Contract Appeals","","242-2007-00003C","242-2007-00003C","201503588","040192015","04/24/2015","151604.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","4879.88","41-USC-7101et seq        ","Contract Disputes Act","156483.88","Y",
"Indian Health Svc","","Board of Contract Appeals","","244-94-0018/0024 and 244-96-0001","","201503589","040202015","04/24/2015","292006.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","99896.54","41-USC-7101et seq        ","Contract Disputes Act","391902.54","Y",
"Department of the Army","CBCA3515","Board of Contract Appeals","","GS-25F-0037M","","201503605","052842015","05/26/2015","67928.63","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","5990.51","41-USC-7101et seq        ","Contract Disputes Act","73919.14","Y",
"General Services Administration","","Board of Contract Appeals","","2392&2765","","201503777","044472015","05/11/2015","10215519.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","10215519.00","Y",
"Indian Health Svc","4476-ISDA, 4477-ISDA","Board of Contract Appeals","","Not provided","Not provided","201503865","046692015","05/14/2015","13500.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","388.91","41-USC-7101et seq        ","Contract Disputes Act","13888.91","Y",
"US Army Corps of Engineers","59505","Board of Contract Appeals","","59505","","201503876","048552015","05/18/2015","855000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","855000.00","Y",
"Coast Guard","CBCA 4595","Board of Contract Appeals","","HSCG47-10-J-A12001","","201503971","047822015","05/15/2015","389260.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","8094.47","41-USC-7101et seq        ","Contract Disputes Act","397354.47","Y",
"Indian Health Svc","CBCA NOS 4573-ISDA THROUGH 4578-ISDA","Board of Contract Appeals","","INTENTIONALLY LEFT BLANK","INTENTIONALLY LEFT BLANK","201503989","055342015","07/01/2015","520212.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","26595.20","41-USC-7101et seq        ","Contract Disputes Act","546807.20","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","CBCA 2133","","201504051","053112015","06/01/2015","5972000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","5972000.00","Y",
"Indian Health Svc","CBCA 4692-ISDA through 4697-ISDA","Board of Contract Appeals","","58G060087","58G060087","201504072","052952015","05/28/2015","842120.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","38167.94","41-USC-7101et seq        ","Contract Disputes Act","880287.94","Y",
"Indian Health Svc","","Board of Contract Appeals","","249-04-0001","","201504136","052942015","05/28/2015","530000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","25798.71","41-USC-7101et seq        ","Contract Disputes Act","555798.71","Y",
"Indian Health Svc","CBCA 4674-ISDA through 4686-ISDA","Board of Contract Appeals","","Not provided","Not provided","201504154","058152015","06/02/2015","1705000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","589903.69","41-USC-7101et seq        ","Contract Disputes Act","2294903.69","Y",
"Indian Health Svc","","Board of Contract Appeals","","58G110101","","201504157","060002015","06/08/2015","25887.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","421.38","41-USC-7101et seq        ","Contract Disputes Act","26308.38","Y",
"Indian Health Svc","CBCA 4476-ISDA, 4477-ISDA","Board of Contract Appeals","","NONE PROVIDED","","201504183","055372015","06/02/2015","18485.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","830.93","41-USC-7101et seq        ","Contract Disputes Act","19315.93","Y",
"Adm Ofc of US Courts","13-629","Board of Contract Appeals","","13-629","","201504243","059842015","06/05/2015","85432.31","ART. 3 COMP CLAUSE       ","Article III Compensation Clause","0.00","","","0.00","","","0.00","","","85432.31","N",
"Adm Ofc of US Courts","13-629","Board of Contract Appeals","","13-629","","201504243","059852015","06/05/2015","15788.88","ART. 3 COMP CLAUSE       ","Article III Compensation Clause","0.00","","","0.00","","","0.00","","","15788.88","N",
"Adm Ofc of US Courts","13-629","Board of Contract Appeals","","13-629","","201504243","059862015","06/05/2015","67963.62","ART. 3 COMP CLAUSE       ","Article III Compensation Clause","0.00","","","0.00","","","0.00","","","67963.62","N",
"Adm Ofc of US Courts","13-629","Board of Contract Appeals","","13-629","","201504243","059872015","06/11/2015","83714.33","ART. 3 COMP CLAUSE       ","Article III Compensation Clause","0.00","","","0.00","","","0.00","","","83714.33","N",
"Adm Ofc of US Courts","13-629","Board of Contract Appeals","","13-629","","201504243","059882015","06/11/2015","5745.85","ART. 3 COMP CLAUSE       ","Article III Compensation Clause","0.00","","","0.00","","","0.00","","","5745.85","N",
"Adm Ofc of US Courts","13-629","Board of Contract Appeals","","13-629","","201504243","059892015","06/05/2015","37836.72","ART. 3 COMP CLAUSE       ","Article III Compensation Clause","0.00","","","0.00","","","0.00","","","37836.72","N",
"Department of Navy","","Board of Contract Appeals","","Not provided","","201504378","076562015","08/27/2015","0.00","","","0.00","","","0.00","","","102300.00","41-USC-7101et seq        ","Contract Disputes Act","102300.00","Y",
"Department of Navy","","Board of Contract Appeals","","Not provided","","201504378","076572015","08/27/2015","2613666.76","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","121495.29","41-USC-7101et seq        ","Contract Disputes Act","2735162.05","Y",
"Indian Health Svc","","Board of Contract Appeals","","N/A","","201504395","062122015","06/18/2015","35000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","1641.14","41-USC-7101et seq        ","Contract Disputes Act","36641.14","Y",
"Indian Health Svc","","Board of Contract Appeals","","62G010071","","201504411","059632015","06/05/2015","75000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","3410.95","41-USC-7101et seq        ","Contract Disputes Act","78410.95","Y",
"Indian Health Svc","","Board of Contract Appeals","","64G020073","","201504667","069682015","07/30/2015","366667.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","17241.57","41-USC-7101et seq        ","Contract Disputes Act","383908.57","Y",
"Indian Health Svc","","Board of Contract Appeals","","64G020073","","201504667","069702015","07/30/2015","733333.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","23120.08","41-USC-7101et seq        ","Contract Disputes Act","756453.08","Y",
"Indian Health Svc","","Board of Contract Appeals","","INTENTIONALLY LEFT BLANK","","201504673","063452015","06/24/2015","1890900.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","42182.61","41-USC-7101et seq        ","Contract Disputes Act","1933082.61","Y",
"Indian Health Svc","","Board of Contract Appeals","","INTENTIONALLY LEFT BLANK","","201504823","064272015","06/30/2015","109529.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","3927.29","41-USC-7101et seq        ","Contract Disputes Act","113456.29","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","CBCA3300, 3354, 3538","","201504836","066822015","07/15/2015","7550000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","314204.11","41-USC-7101et seq        ","Contract Disputes Act","7864204.11","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","CBCA3300, 3354, 3538","","201504836","066832015","07/15/2015","30237408.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","1569300.31","41-USC-7101et seq        ","Contract Disputes Act","31806708.31","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","CBCA3300, 3354, 3538","","201504836","066842015","07/15/2015","2970006.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","144626.68","41-USC-7101et seq        ","Contract Disputes Act","3114632.68","Y",
"Department of Veterans Affairs","","Board of Contract Appeals","","CBCA4619","","201504857","066852015","07/15/2015","57894069.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","947717.98","41-USC-7101et seq        ","Contract Disputes Act","58841786.98","Y",
"Department of Veterans Affairs","CBCA 4088, 4091, 4557","Board of Contract Appeals","","Not provided","Not provided","201504896","066782015","07/15/2015","540000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","175.68","41-USC-7101et seq        ","Contract Disputes Act","540175.68","Y",
"Indian Health Svc","","Board of Contract Appeals","","242-96-0026, 242-96-0028, 242-97","","201504914","067742015","07/17/2015","1100000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1100000.00","Y",
"Natl Oceanic & Atmos","CBCA 4147 & 4148","Board of Contract Appeals","","None provided","None provided","201504953","072012015","08/07/2015","165000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","548.12","41-USC-7101et seq        ","Contract Disputes Act","165548.12","Y",
"Department of Veterans Affairs","3849","Board of Contract Appeals","","CBCA3849","","201505122","067752015","07/17/2015","16359475.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","539358.44","41-USC-7101et seq        ","Contract Disputes Act","16898833.44","Y",
"Department of Veterans Affairs","4809","Board of Contract Appeals","","CBCA 4809","","201505388","072072015","08/07/2015","6261300.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","27468.23","41-USC-7101et seq        ","Contract Disputes Act","6288768.23","Y",
"Department of Veterans Affairs","4808","Board of Contract Appeals","","CBCA 4808","","201505389","072082015","08/07/2015","41103348.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","180319.83","41-USC-7101et seq        ","Contract Disputes Act","41283667.83","Y",
"Department of Veterans Affairs","CBCA 2951 3445 3539 3558 3884","Board of Contract Appeals","","Not provided","Not provided","201505439","071752015","08/10/2015","375000.00","41-USC-7101et seq        ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","375000.00","Y",
