Defendant Agency Name,Docket #,Jurisdiction,Court Jurisdiction,Responsible Agency File #,Submitting Agency File #,Control #,Payment ID #,Payment Sent Date,Principal Amount,Principal Citation Code,Principal Citation Code Description,Attorney Fees Amount,Attorney Fees Citation Code,Attorney Fees Citation Code Description,Cost Amount,Cost Citation Code,Cost Citation Code Description,Interest Amount,Interest Citation Code,Interest Citation Code Description,Payment Amount,Reimbursable
"Department of the Air Force","55620","Contract Disputes","","ASBCA NO 55620","","201101853","022022011","03/08/2011","36526.77","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","8419.99","41-USC-601et seq         ","Contract Disputes Act","44946.76","Y",
"US Army Corps of Engineers","","Contract Disputes","","NONE PROVIDED","NONE PROVIDED","201102351","024012011","03/16/2011","180000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","180000.00","Y",
"General Services Administration","","Contract Disputes","","PROJECT NO NFL97001","","201102413","024412011","03/22/2011","12128131.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","1206906.32","41-USC-601et seq         ","Contract Disputes Act","13335037.32","Y",
"General Services Administration","","Contract Disputes","","PROJECT NO NFL97001","","201102821","029052011","04/08/2011","0.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","2868.21","41-USC-601et seq         ","Contract Disputes Act","2868.21","Y",
"Department of Navy","","Contract Disputes","","09-002","","201102894","029572011","04/12/2011","525000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","525000.00","Y",
"Department of Navy","","Contract Disputes","","N68711-91-C-9509","","201103065","030762011","05/03/2011","278076.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","278076.00","Y",
"Department of Veterans Affairs","1960","Contract Disputes","","NONE PROVIDED","","201103077","033712011","05/04/2011","7217432.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","7217432.00","Y",
"Indian Health Svc","","Contract Disputes","","08-18314","","201103506","036032011","05/25/2011","1100000.00","25-USC-450m-1            ","Indian Self Determination Contracts_","0.00","","","0.00","","","0.00","","","1100000.00","Y",
"Department of Veterans Affairs","","Contract Disputes","","V101 9049A3)V-0323","","201104136","040632011","06/24/2011","350000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","350000.00","Y",
"Department of the Air Force","2011-5051","Contract Disputes","","154-07-854","","201104161","047372011","07/27/2011","37804.35","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","37804.35","Y",
"Off of the Secretary","07-631C","Contract Disputes","","NONE PROVIDED","","201104205","043612011","07/05/2011","5000000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","5000000.00","Y",
"General Services Administration","","Contract Disputes","","CBCA # 1093","","201104657","048252011","07/29/2011","334178.57","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","3111.76","41-USC-601et seq         ","Contract Disputes Act","337290.33","Y",
"General Services Administration","GS-03B-30060","Contract Disputes","","2321","","201105168","058492011","09/28/2011","194690.38","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","194690.38","Y",
"Department of Veterans Affairs","09-220","Court Of Federal Claims","","154-09-220","","201005614","117722010","10/19/2010","698779.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","10273.02","41-USC-601et seq         ","Contract Disputes Act","709052.02","Y",
"Bur of Land Mgmt","98-312","Court Of Federal Claims","","154-98-312","","201005706","117252010","10/07/2010","0.00","","","0.00","","","5159.70","28-USC-2412(a)           ","Costs Per 28 USC 1920","0.00","","","5159.70","N",
"Office of the Secretary of Defense - Agencies","01-79","Court Of Federal Claims","","154-01-79","","201005766","118032010","10/08/2010","14497321.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","10547022.95","41-USC-601et seq         ","Contract Disputes Act","25044343.95","Y",
"Office of the Secretary of Defense - Agencies","01-79","Court Of Federal Claims","","154-01-79","","201005766","118082010","10/08/2010","37049753.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","28147494.57","41-USC-601et seq         ","Contract Disputes Act","65197247.57","Y",
"General Services Administration","06-463","Court Of Federal Claims","","154-06-463","","201005860","118712010","10/26/2010","1910000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1910000.00","Y",
"Bureau of the Census","01-495","Court Of Federal Claims","","154-01-495","","201005913","118952010","11/16/2010","3505124.00","29-USC-206(d) CT of F Cl ","Equal Pay Act/FLSA","4244876.00","29-USC-206(d) CT of F Cl ","Equal Pay Act/FLSA","0.00","","","0.00","","","7750000.00","N",
"Surface Transportation Board","NO 01-718 L","Court Of Federal Claims","","90-1-23-10506","","201100144","001882011","10/25/2010","370114.00","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","253490.00","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","495737.29","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","1119341.29","N",
"Department of Energy","04-103","Court Of Federal Claims","","154-04-103","","201100291","006842011","11/24/2010","99999999.99","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","99999999.99","N",
"Department of Energy","04-103","Court Of Federal Claims","","154-04-103","","201100291","006852011","11/24/2010","471661.26","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","471661.26","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","006512011","11/23/2010","107528.52","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","107528.52","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","006532011","12/14/2010","2239.73","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","2239.73","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","006542011","12/14/2010","122.78","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","122.78","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","006562011","12/14/2010","2281.83","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","2281.83","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","006572011","12/14/2010","534.64","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","534.64","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","006592011","12/14/2010","2920.44","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","2920.44","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","006602011","12/14/2010","160.10","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","160.10","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","006622011","12/14/2010","4753.16","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","4753.16","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","006632011","12/14/2010","1113.68","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","1113.68","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","006652011","12/14/2010","436.12","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","436.12","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","006662011","12/14/2010","102.18","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","102.18","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","014282011","01/12/2011","11062.58","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","11062.58","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","014292011","01/12/2011","5289.09","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","5289.09","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","014302011","01/12/2011","1015.02","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","1015.02","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","014312011","01/12/2011","6959.68","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","6959.68","N",
"Department of Navy","09-136","Court Of Federal Claims","","154-09-136","","201100292","014322011","01/12/2011","9030.72","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","9030.72","N",
"Bur of Indian Affair","09-160L","Court Of Federal Claims","","SA - 90-2-20-12792","","201100323","007112011","11/30/2010","31708.60","28-USC-1491 Indian Claim ","Indiviual Indian Claim-cite basis for award in comments","0.00","","","0.00","","","0.00","","","31708.60","N",
"Department of the Army","09-650","Court Of Federal Claims","","154-09-650","","201100673","007322011","12/02/2010","200000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","200000.00","Y",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009582011","12/20/2010","309.57","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","309.57","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009592011","12/15/2010","32.22","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","32.22","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009602011","12/20/2010","11356.53","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","11356.53","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009612011","12/15/2010","168.59","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","168.59","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009622011","12/20/2010","1529.10","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","1529.10","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009632011","12/15/2010","148.03","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","148.03","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009642011","12/20/2010","11039.57","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","11039.57","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009652011","12/15/2010","994.03","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","994.03","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009662011","12/20/2010","673.59","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","673.59","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009672011","12/15/2010","64.38","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","64.38","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009682011","12/20/2010","6985.42","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","6985.42","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009692011","12/15/2010","585.13","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","585.13","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009702011","12/15/2010","274.82","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","274.82","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009712011","12/15/2010","137.50","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","137.50","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009722011","12/15/2010","3075.41","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","3075.41","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009732011","12/15/2010","631.77","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","631.77","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009742011","12/15/2010","4242.51","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","4242.51","N",
"Department of Commerce","07-279","Court Of Federal Claims","","15407-279","","201100731","009752011","12/15/2010","2497.34","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","2497.34","N",
"Drug Enforcement Adm","90-162","Court Of Federal Claims","","154-90-162","","201100752","009552011","12/17/2010","9843.81","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","9843.81","N",
"Drug Enforcement Adm","90-162","Court Of Federal Claims","","154-90-162","","201100752","009562011","12/16/2010","1965.33","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","1965.33","N",
"Drug Enforcement Adm","90-162","Court Of Federal Claims","","154-90-162","","201100752","009572011","12/16/2010","460.48","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","460.48","N",
"Department of Health and Human Services","03-1316","Court Of Federal Claims","","154-03-1316","","201100771","006782011","11/23/2010","3450000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","1389162.33","41-USC-601et seq         ","Contract Disputes Act","4839162.33","Y",
"Department of Veterans Affairs","07-15","Court Of Federal Claims","","154-07-15","","201100862","007722011","12/06/2010","300000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","300000.00","Y",
"Immigration & Custom","05-142","Court Of Federal Claims","","154-05-142","","201101003","014012011","01/10/2011","193957.30","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","413765.10","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","12489.45","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","620211.85","N",
"Department of Agriculture","","Court Of Federal Claims","","145-8-3436","","201101023","012202011","12/23/2010","0.00","","","0.00","","","261.80","28-USC-2412(a)           ","Costs Per 28 USC 1920","0.00","","","261.80","N",
"Department of Energy","154-01-551","Court Of Federal Claims","","154-01-551","","201101142","011792011","12/23/2010","14093295.87","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","14093295.87","N",
"Department of Navy","015CV00187","Court Of Federal Claims","","NONE PROVIDED","","201101216","014762011","01/12/2011","1225000.00","28-USC-1498              ","Patent/Copyright Infringement","0.00","","","0.00","","","0.00","","","1225000.00","N",
"FEMA","09-20","Court Of Federal Claims","","154-09-20","","201101233","012512011","12/27/2010","62500.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","62500.00","Y",
"Department of Navy","09-688 C","Court Of Federal Claims","","SA - 254-09-688","","201101400","013802011","01/10/2011","625000.00","28-USC-1498              ","Patent/Copyright Infringement","0.00","","","0.00","","","0.00","","","625000.00","N",
"FEMA","08-88","Court Of Federal Claims","","154-08-88","","201101497","016672011","01/27/2011","1300000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1300000.00","Y",
"Bur of Land Mgmt; Forest Service","NO 07-14L","Court Of Federal Claims","","90-1-23-12154; 90-1-23-12154","","201101503","018702011","02/10/2011","282821.00","5 AMND TAK               ","5th Amendment Taking/Inverse Condemnation","0.00","","","0.00","","","0.00","","","282821.00","N",
"Department of Energy","03-2832","Court Of Federal Claims","","03-2832","","201101693","017262011","02/03/2011","0.00","","","0.00","","","30058.84","28-USC-2412(a)           ","Costs Per 28 USC 1920","0.00","","","30058.84","N",
"General Services Administration","09-359","Court Of Federal Claims","","154-09-359","","201101883","020482011","03/08/2011","75000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","75000.00","N",
"DHS - Immigration  & Customs Enforcement (ICE)","09-549","Court Of Federal Claims","","154-09-549","","201101884","019162011","02/16/2011","3200000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","3200000.00","Y",
"Department of the Air Force","98-9443","Court Of Federal Claims","","154-98-9443","","201101949","019402011","02/15/2011","81848.32","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","81848.32","N",
"Department of the Air Force","98-9443","Court Of Federal Claims","","154-98-9443","","201101949","019412011","02/24/2011","300415.75","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","300415.75","N",
"Customs and Border Protection","10-0137","Court Of Federal Claims","","54-10-0137","","201101950","019652011","02/24/2011","680000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","680000.00","N",
"Office of the Secretary of Defense - Agencies","07-547","Court Of Federal Claims","","154-07-547","","201101959","019732011","02/17/2011","0.00","","","0.00","","","83.34","28-USC-2412(a)           ","Costs Per 28 USC 1920","0.00","","","83.34","N",
"Office of the Secretary of Defense - Agencies","07-547","Court Of Federal Claims","","154-07-547","","201101959","019742011","02/17/2011","0.00","","","0.00","","","83.33","28-USC-2412(a)           ","Costs Per 28 USC 1920","0.00","","","83.33","N",
"Office of the Secretary of Defense - Agencies","07-547","Court Of Federal Claims","","154-07-547","","201101959","019752011","02/17/2011","0.00","","","0.00","","","83.33","28-USC-2412(a)           ","Costs Per 28 USC 1920","0.00","","","83.33","N",
"Alcohol Tobacco Fire","03-2858","Court Of Federal Claims","","154-03-2858","","201101960","020142011","02/24/2011","5202.92","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","5202.92","N",
"Bureau of Prisons","10-57","Court Of Federal Claims","","154-10-57","","201101979","020722011","03/03/2011","1887500.00","28-USC-2513              ","Unjust Conviction & Imprisonment","0.00","","","0.00","","","0.00","","","1887500.00","N",
"Department of Navy","10-126","Court Of Federal Claims","","154-10-126","","201101996","020462011","03/08/2011","128495.94","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","13396.36","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","141892.30","N",
"Department of Energy","00-697","Court Of Federal Claims","","154-00-697","","201102082","020842011","02/25/2011","45500000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","45500000.00","N",
"Department of the Army","09-508","Court Of Federal Claims","","154-09-508","","201102083","024382011","03/22/2011","2851019.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","271421.45","41-USC-601et seq         ","Contract Disputes Act","3122440.45","Y",
"Agricultural Res Svc","06-345","Court Of Federal Claims","","154-06-345","","201102302","023652011","03/16/2011","1290000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","1290000.00","Y",
"Homeland Security","08-582","Court Of Federal Claims","","154-08-582","","201102366","025942011","03/24/2011","0.00","","","5108.80","28-USC-2412(a)           ","Costs Per 28 USC 1920","0.00","","","0.00","","","5108.80","N",
"Department of Navy","07-779","Court Of Federal Claims","","154-07-779","","201102367","024182011","03/16/2011","50000.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","50000.00","N",
"Drug Enforcement Adm","06-139","Court Of Federal Claims","","154-06-139","","201102580","026242011","03/29/2011","291.87","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","291.87","N",
"Department of the Air Force","98-9444","Court Of Federal Claims","","154-98-9444","","201102676","027712011","04/05/2011","313071.19","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","313071.19","N",
"Department of the Air Force","98-9444","Court Of Federal Claims","","154-98-9444","","201102676","027722011","04/13/2011","20511.83","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","20511.83","N",
"Department of the Air Force","98-9445","Court Of Federal Claims","","154-98-9445","","201102677","032902011","05/05/2011","441066.76","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","441066.76","N",
"Department of the Air Force","98-9445","Court Of Federal Claims","","154-98-9445","","201102677","032912011","04/29/2011","21277.84","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","21277.84","N",
"Department of Energy","04-033","Court Of Federal Claims","","154-04-033","","201102680","032252011","05/03/2011","448859.00","28-USC-1491 Express Contr","Breach of Express Contract (Not a CDA Claim)","0.00","","","0.00","","","0.00","","","448859.00","N",
"Office of the Secretary of Defense - Agencies","07-873","Court Of Federal Claims","","154-07-873","","201102681","027572011","04/08/2011","200000.00","41-USC-601et seq         ","Contract Disputes Act","0.00","","","0.00","","","0.00","","","200000.00","Y",
"Department of Commerce","08-545","Court Of Federal Claims","","154-08-545","","201102685","028772011","04/05/2011","45161.81","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","45161.81","N",
"DHS - TSA  Trans. SEC. Admin.","04-370","Court Of Federal Claims","","154-04-370","","201102754","039302011","06/15/2011","99999999.90","29-USC-216 CT OF Claims  ","FLSA Penalties - Attny Fees&Costs","0.00","","","0.00","","","0.00","","","99999999.90","N",
